symptoms,grouped diseases
irregular heartbeat,"{'angina': 0.07418158361554587, 'anxiety': 0.09772617319787132, 'aortic valve disease': 0.055958716336074826, 'atrial fibrillation': 0.005321722302854378, 'atrial flutter': 0.023060796645702306, 'benign paroxysmal positional vertical (bppv)': 0.055152394775036286, 'cardiac arrest': 0.03967102080309628, 'cardiomyopathy': 0.0343492985002419, 'central atherosclerosis': 0.0027414933075310434, 'central retinal artery or vein occlusion': 0.008869537171423964, 'coronary atherosclerosis': 0.013707466537655217, 'endocarditis': 0.011449766166747298, 'graves disease': 0.030962747943880018, 'heart attack': 0.0727302048056765, 'heart block': 0.050636994033220445, 'mitral valve disease': 0.053862280277374615, 'open wound of the back': 0.0012901144976616675, 'orthostatic hypotension': 0.022738268021286888, 'panic attack': 0.022093210772456056, 'panic disorder': 0.07337526205450734, 'paroxysmal supraventricular tachycardia': 0.03080148363167231, 'paroxysmal ventricular tachycardia': 0.0516045799064667, 'polymyalgia rheumatica': 0.016932752781809387, 'premature atrial contractions (pacs)': 0.018867924528301886, 'premature ventricular contractions (pvcs)': 0.028221254636348975, 'sick sinus syndrome': 0.014836316723109175, 'sinus bradycardia': 0.07885824866956942, 'toxic multinodular goiter': 0.009998387356877922}"
breathing fast,{'panic disorder': 1.0}
hoarse voice,"{'conductive hearing loss': 0.13176895306859207, 'croup': 0.13688327316486162, 'esophageal cancer': 0.01233453670276775, 'essential tremor': 0.05054151624548736, 'gastroesophageal reflux disease (gerd)': 0.06738868832731648, 'head and neck cancer': 0.06919374247894103, 'laryngitis': 0.09807460890493382, 'lymphoma': 0.030084235860409144, 'nasal polyp': 0.07310469314079422, 'pharyngitis': 0.005716004813477738, 'rhabdomyolysis': 0.0018050541516245488, 'sensorineural hearing loss': 0.13628158844765342, 'testicular disorder': 0.015944645006016847, 'thyroid nodule': 0.05114320096269555, 'tinnitus of unknown cause': 0.06558363417569193, 'tracheitis': 0.04061371841155235, 'vocal cord polyp': 0.013537906137184115}"
sore throat,"{'abscess of nose': 0.010996072831131739, 'abscess of the pharynx': 0.01285255265976437, 'acute bronchitis': 0.04405569439485898, 'acute bronchospasm': 0.033916458407711535, 'acute otitis media': 0.023991431631560155, 'acute sinusitis': 0.04255622991788647, 'allergy to animals': 0.0027133166726169226, 'aphthous ulcer': 0.00935380221349518, 'atelectasis': 0.004998214923241699, 'cellulitis or abscess of mouth': 0.006283470189218136, 'chronic obstructive pulmonary disease (copd)': 0.03213138164941092, 'chronic sinusitis': 0.023777222420564084, 'cold sore': 0.007497322384862549, 'common cold': 0.031274544805426636, 'conjunctivitis': 0.042699036058550514, 'conjunctivitis due to bacteria': 0.008068546947518743, 'croup': 0.03134594787575866, 'dengue fever': 0.00021420921099607284, 'deviated nasal septum': 0.0197072474116387, 'esophagitis': 0.04426990360585505, 'eustachian tube dysfunction (ear disorder)': 0.04298464833987861, 'flu': 0.0320599785790789, 'foreign body in the throat': 0.0061406640485540875, 'head and neck cancer': 0.012495537308104248, 'herpangina': 0.015637272402713318, 'interstitial lung disease': 0.02406283470189218, 'laryngitis': 0.024991074616208496, 'lymphadenitis': 0.016279900035701535, 'lymphogranuloma venereum': 0.000785433773652267, 'mononucleosis': 0.012923955730096394, 'mucositis': 0.011067475901463763, 'mumps': 0.0022134951802927527, 'nose disorder': 0.04212781149589433, 'oral mucosal lesion': 0.020278471974294894, 'oral thrush (yeast infection)': 0.023420207068903964, ""otitis externa (swimmer's ear)"": 0.03120314173509461, 'otitis media': 0.0317743662977508, 'peritonsillar abscess': 0.009282399143163157, 'pharyngitis': 0.000785433773652267, 'pneumonia': 0.043484469832202784, 'salivary gland disorder': 0.003355944305605141, 'scarlet fever': 0.003141735094609068, 'seasonal allergies (hay fever)': 0.031845769368082824, 'sialoadenitis': 0.023634416279900036, 'strep throat': 0.04219921456622635, 'temporomandibular joint disorder': 0.016922527668689753, 'tonsillar hypertrophy': 0.012566940378436272, 'tonsillitis': 0.015922884684041412, 'tracheitis': 0.007211710103534452, 'vocal cord polyp': 0.003141735094609068, 'whooping cough': 0.002570510531952874, 'zenker diverticulum': 0.000785433773652267}"
difficulty speaking,"{'alzheimer disease': 0.02924071082390953, 'amyotrophic lateral sclerosis (als)': 0.007915993537964459, 'autism': 0.048465266558966075, 'bone disorder': 0.03150242326332795, 'brain cancer': 0.031663974151857836, 'concussion': 0.09563812600969306, 'conductive hearing loss': 0.04959612277867528, 'cranial nerve palsy': 0.03861066235864297, 'decubitus ulcer': 0.0006462035541195477, 'delirium': 0.04862681744749596, 'developmental disability': 0.07350565428109855, 'dislocation of the finger': 0.002261712439418417, 'down syndrome': 0.018739903069466882, 'epilepsy': 0.005492730210016155, 'fracture of the pelvis': 0.024394184168012926, 'guillain barre syndrome': 0.00678513731825525, 'hemiplegia': 0.053957996768982226, 'hemochromatosis': 0.0004846526655896607, 'hyperopia': 0.01470113085621971, 'intracranial hemorrhage': 0.027463651050080775, 'kidney disease due to longstanding hypertension': 0.0011308562197092085, 'laryngitis': 0.07237479806138934, 'lichen planus': 0.0014539579967689823, 'lichen simplex': 0.0077544426494345715, 'marijuana abuse': 0.0964458804523425, 'myelodysplastic syndrome': 0.0004846526655896607, 'osteomyelitis': 0.02197092084006462, 'parkinson disease': 0.040549273021001614, 'poisoning due to anticonvulsants': 0.005654281098546042, 'poisoning due to opioids': 0.0014539579967689823, 'presbyopia': 0.023424878836833602, 'stroke': 0.052019386106623586, 'transient ischemic attack': 0.05444264943457189, 'vocal cord polyp': 0.011147011308562197}"
cough,"{'abscess of nose': 0.006009219624629568, 'abscess of the lung': 0.00032927230819888045, 'abscess of the pharynx': 0.00691471847217649, 'achalasia': 0.002675337504115904, 'acute bronchiolitis': 0.025436285808363518, 'acute bronchitis': 0.025765558116562396, 'acute bronchospasm': 0.01992097464603227, 'acute otitis media': 0.01395291405992756, 'acute respiratory distress syndrome (ards)': 0.009384260783668094, 'acute sinusitis': 0.019015475798485348, 'allergy': 0.017986499835363847, 'allergy to animals': 0.0012759301942706618, 'aphthous ulcer': 0.00670892327955219, 'asthma': 0.01934474810668423, 'atelectasis': 0.0025107013500164635, 'balanitis': 0.009384260783668094, 'chickenpox': 0.003580836351662825, 'chronic obstructive pulmonary disease (copd)': 0.01959170233783339, 'chronic otitis media': 0.018192295027988147, 'chronic sinusitis': 0.018850839644385907, 'common cold': 0.019303589068159367, 'conjunctivitis': 0.01918011195258479, 'conjunctivitis due to allergy': 0.023707606190319395, 'conjunctivitis due to bacteria': 0.004692130391834047, 'conjunctivitis due to virus': 0.0135001646361541, 'conversion disorder': 0.000699703654922621, 'croup': 0.019468225222258807, 'cystic fibrosis': 0.00045274942377346067, 'diaper rash': 0.017945340796838984, 'down syndrome': 0.002716496542640764, 'ear drum damage': 0.018480408297662166, 'ear wax impaction': 0.0135001646361541, 'eczema': 0.024324991768192295, 'emphysema': 0.0012347711557458018, 'empyema': 0.00016463615409944023, 'esophagitis': 0.025189331577214355, 'flu': 0.01382943694435298, 'food allergy': 0.012800460981231478, 'foreign body in the throat': 0.0032927230819888046, 'friedrich ataxia': 0.0002057951926243003, 'g6pd enzyme deficiency': 0.0002469542311491604, 'gastroesophageal reflux disease (gerd)': 0.0139117550214027, 'heart failure': 0.025312808692788936, 'hemolytic anemia': 0.0006585446163977609, 'hemophilia': 0.0007820217319723412, 'herpangina': 0.009548896937767533, 'histoplasmosis': 0.0002057951926243003, 'hyperhidrosis': 0.0009878169245966415, 'hyperosmotic hyperketotic state': 0.0002057951926243003, 'impetigo': 0.01382943694435298, 'interstitial lung disease': 0.011236417517286797, 'intestinal malabsorption': 0.005597629239380968, 'laryngitis': 0.014282186368126441, 'lice': 0.0015640434639446824, 'lung cancer': 0.0011936121172209416, 'lymphadenitis': 0.014282186368126441, 'mastoiditis': 0.004445176160684887, 'meningitis': 0.009507737899242674, 'mononucleosis': 0.010824827132038195, 'muscular dystrophy': 0.0017286796180441225, 'nasal polyp': 0.010001646361540995, 'neuropathy due to drugs': 0.0012347711557458018, 'nose disorder': 0.025353967731313796, 'oral mucosal lesion': 0.018151135989463284, 'oral thrush (yeast infection)': 0.0143233454066513, ""otitis externa (swimmer's ear)"": 0.019262430029634507, 'otitis media': 0.018727362528811325, 'parasitic disease': 0.0024283832729667435, 'pharyngitis': 0.0005762265393480408, 'pleural effusion': 0.011894962133684557, 'pneumoconiosis': 0.00032927230819888045, 'pneumonia': 0.025683240039512677, 'pneumothorax': 0.006173855778729009, 'poisoning due to gas': 0.004486335199209746, 'primary immunodeficiency': 0.0009466578860717813, 'pulmonary congestion': 0.01444682252222588, 'pulmonary embolism': 0.018933157721435626, 'pulmonary eosinophilia': 0.004239380968060586, 'pulmonary fibrosis': 0.0026341784655910436, 'pulmonary hypertension': 0.009054988475469213, 'pyloric stenosis': 0.0004939084622983208, 'salivary gland disorder': 0.002140270003292723, 'sarcoidosis': 0.00732630885742509, 'scarlet fever': 0.0016463615409944023, 'seasonal allergies (hay fever)': 0.018727362528811325, 'sepsis': 0.018933157721435626, 'sialoadenitis': 0.01366480079025354, 'smoking or tobacco addiction': 0.018480408297662166, 'spherocytosis': 0.0002057951926243003, 'stenosis of the tear duct': 0.002922291735265064, 'strep throat': 0.024942377346065196, 'teething syndrome': 0.014117550214027, 'tietze syndrome': 0.009548896937767533, 'tonsillar hypertrophy': 0.007573263088574251, 'tracheitis': 0.004445176160684887, 'tuberculosis': 0.0006173855778729009, 'viral exanthem': 0.011565689825485677, 'white blood cell disease': 0.010289759631215015, 'whooping cough': 0.0010701350016463615, 'wilson disease': 0.0005350675008231807}"
nasal congestion,"{'abscess of nose': 0.009506172839506173, 'abscess of the pharynx': 0.010246913580246913, 'acute bronchiolitis': 0.03888888888888889, 'acute bronchitis': 0.039135802469135804, 'acute bronchospasm': 0.028765432098765434, 'acute otitis media': 0.020987654320987655, 'acute sinusitis': 0.027407407407407408, 'allergy to animals': 0.0016049382716049382, 'asthma': 0.029691358024691358, 'cholesteatoma': 0.0019135802469135803, 'chronic obstructive pulmonary disease (copd)': 0.029135802469135802, 'chronic otitis media': 0.021111111111111112, 'common cold': 0.027654320987654323, 'conjunctivitis': 0.02802469135802469, 'conjunctivitis due to allergy': 0.038580246913580245, 'conjunctivitis due to bacteria': 0.0072839506172839505, 'conjunctivitis due to virus': 0.02148148148148148, 'croup': 0.038703703703703705, 'deviated nasal septum': 0.018271604938271607, 'diaper rash': 0.02851851851851852, 'down syndrome': 0.005617283950617284, 'ear drum damage': 0.027469135802469135, 'ear wax impaction': 0.020987654320987655, 'eustachian tube dysfunction (ear disorder)': 0.027407407407407408, 'food allergy': 0.013641975308641975, 'foreign body in the nose': 6.17283950617284e-05, 'impetigo': 0.020864197530864197, 'interstitial lung disease': 0.016296296296296295, 'intestinal malabsorption': 0.005308641975308642, 'lactose intolerance': 0.007222222222222222, 'laryngitis': 0.02148148148148148, 'lice': 0.003765432098765432, 'mastoiditis': 0.006913580246913581, 'mononucleosis': 0.01, 'muscular dystrophy': 0.0019135802469135803, 'nasal polyp': 0.012037037037037037, 'nose disorder': 0.037530864197530864, 'oral thrush (yeast infection)': 0.02123456790123457, 'otitis media': 0.027654320987654323, 'pneumonia': 0.03851851851851852, 'pulmonary congestion': 0.01617283950617284, 'pulmonary eosinophilia': 0.005925925925925926, 'seasonal allergies (hay fever)': 0.027654320987654323, 'sensorineural hearing loss': 0.022037037037037036, 'sialoadenitis': 0.01617283950617284, 'strep throat': 0.037530864197530864, 'teething syndrome': 0.013580246913580247, 'temporomandibular joint disorder': 0.010864197530864197, 'tonsillar hypertrophy': 0.011790123456790123, 'tonsillitis': 0.014320987654320988, 'tracheitis': 0.010185185185185186, 'trichinosis': 0.0006172839506172839, 'viral exanthem': 0.017839506172839505, 'whooping cough': 0.0024691358024691358}"
throat swelling,"{'abscess of the pharynx': 0.1310116086235489, 'cellulitis or abscess of mouth': 0.0685461580983969, 'drug reaction': 0.24267551133222776, 'foreign body in the throat': 0.07573244886677723, 'lymphedema': 0.18629076838032063, 'peritonsillar abscess': 0.08955223880597014, 'scarlet fever': 0.04256495301271421, 'torticollis': 0.12327252625760088, 'vocal cord polyp': 0.040353786622443336}"
diminished hearing,"{'acute otitis media': 0.08298145768312833, 'adrenal cancer': 0.0005507618872774004, 'cholesteatoma': 0.005324031577014871, 'conductive hearing loss': 0.056361299798053974, 'congenital malformation syndrome': 0.002386634844868735, 'ear drum damage': 0.08077841013401872, 'ear wax impaction': 0.06278685514962365, 'eustachian tube dysfunction (ear disorder)': 0.08371580686616487, 'foreign body in the ear': 0.0018358729575913347, 'fracture of the skull': 0.007159904534606206, 'injury to the face': 0.06535707729025152, 'labyrinthitis': 0.08022764824674132, 'mastoiditis': 0.020928951716541216, 'meniere disease': 0.026252983293556086, 'open wound of the nose': 0.002019460253350468, 'orbital cellulitis': 0.025702221406278685, ""otitis externa (swimmer's ear)"": 0.08279787038736919, 'otitis media': 0.08573526711951533, 'otosclerosis': 0.0018358729575913347, 'presbyacusis': 0.005140444281255737, 'sensorineural hearing loss': 0.06278685514962365, 'temporomandibular joint disorder': 0.042225078024600696, 'testicular cancer': 0.0018358729575913347, 'thyroid nodule': 0.031577014870570956, 'tinnitus of unknown cause': 0.027170919772351754, 'tonsillitis': 0.05452542684046264}"
lump in throat,"{'foreign body in the gastrointestinal tract': 0.19038461538461537, 'goiter': 0.11923076923076924, 'thyroid disease': 0.03076923076923077, 'tonsillitis': 0.6596153846153846}"
throat feels tight,"{'achalasia': 0.02367109634551495, 'chronic rheumatic fever': 0.061046511627906974, 'foreign body in the ear': 0.009136212624584718, 'head and neck cancer': 0.07142857142857142, 'intestinal cancer': 0.01910299003322259, 'ischemic heart disease': 0.18480066445182725, 'laryngitis': 0.19476744186046513, 'parathyroid adenoma': 0.007475083056478406, 'peritonsillar abscess': 0.04817275747508306, 'salivary gland disorder': 0.020348837209302327, 'sensorineural hearing loss': 0.18397009966777408, 'thyroid disease': 0.006229235880398671, 'thyroid nodule': 0.04609634551495016, 'tonsillitis': 0.09426910299003323, 'vocal cord polyp': 0.029485049833887042}"
difficulty in swallowing,"{'abscess of the pharynx': 0.030559050871831746, 'achalasia': 0.007909401402121157, 'amyotrophic lateral sclerosis (als)': 0.009347474384325004, 'anemia due to malignancy': 0.001258313859428366, 'autonomic nervous system disorder': 0.009167715261549523, 'cellulitis or abscess of mouth': 0.011684342980406255, 'connective tissue disorder': 0.0005392773683264426, 'erythema multiforme': 0.006830846665468272, 'esophagitis': 0.11486607945353226, 'foreign body in the gastrointestinal tract': 0.01276289771705914, 'foreign body in the throat': 0.015099766313140393, 'gastroesophageal reflux disease (gerd)': 0.05195038648211397, 'goiter': 0.010426029120977889, 'head and neck cancer': 0.03145784648570915, 'hiatal hernia': 0.11001258313859429, 'hyperkalemia': 0.05716340104260291, 'jaw disorder': 0.04565881718497214, 'laryngitis': 0.06039906525256157, 'mucositis': 0.03864821139672838, 'obstructive sleep apnea (osa)': 0.10785547366528851, 'peritonsillar abscess': 0.02318892683803703, 'polymyalgia rheumatica': 0.01887470789142549, 'sjogren syndrome': 0.013122415962610103, 'stomach cancer': 0.023728204206363474, 'strep throat': 0.10551860506920727, 'stricture of the esophagus': 0.010965306489304332, 'thyroid cancer': 0.001258313859428366, 'thyroid disease': 0.0019773503505302894, 'thyroid nodule': 0.022290131224159626, 'tonsillar hypertrophy': 0.04547905806219665}"
skin swelling,"{'acne': 0.016287504121332015, 'actinic keratosis': 0.02967359050445104, 'allergy': 0.030794592812396968, 'alopecia': 0.01615562149686779, ""athlete's foot"": 0.016683151994724695, 'atrophic skin condition': 0.014177382129904385, 'callus': 0.021892515661061655, 'cat scratch disease': 0.00019782393669634025, 'cold sore': 0.01061655126937026, 'contact dermatitis': 0.02967359050445104, 'dental caries': 0.03758654797230465, 'dermatitis due to sun exposure': 0.01483679525222552, 'eczema': 0.040553907022749754, 'envenomation from spider or animal bite': 0.01483679525222552, 'female genitalia infection': 0.01121002307945928, 'flat feet': 0.0021101219914276296, 'fungal infection of the hair': 0.0388394329047148, 'fungal infection of the skin': 0.020969337289812068, 'gynecomastia': 0.003297065611605671, 'hemangioma': 0.021496867787668975, 'hematoma': 0.0029014177382129906, 'hidradenitis suppurativa': 0.007055720408836136, 'impetigo': 0.029937355753379493, 'insect bite': 0.02156280909990109, 'intertrigo (skin condition)': 0.0038905374216946917, 'lipoma': 0.021101219914276294, 'lymphadenitis': 0.014573030003297066, 'mastectomy': 0.000791295746785361, 'melanoma': 0.008968018463567425, 'molluscum contagiosum': 0.01582591493570722, 'onychomycosis': 0.0216287504121332, 'open wound from surgical incision': 0.0003956478733926805, 'open wound of the neck': 0.0019782393669634025, 'oral leukoplakia': 0.0002637652489284537, 'ovarian torsion': 0.004154302670623145, 'perirectal infection': 0.00751730959446093, 'pilonidal cyst': 0.011671612265084076, 'pityriasis rosea': 0.002637652489284537, 'poisoning due to analgesics': 0.0038245961094625783, 'postoperative infection': 0.005736894164193867, 'psoriasis': 0.03916913946587537, 'pyogenic skin infection': 0.029409825255522586, 'rosacea': 0.021496867787668975, 'scabies': 0.006528189910979229, 'scar': 0.01272667326079789, 'scarlet fever': 0.004154302670623145, 'sebaceous cyst': 0.029475766567754698, 'seborrheic keratosis': 0.027629409825255524, 'skin cancer': 0.021101219914276294, 'skin disorder': 0.021167161226508406, 'skin pigmentation disorder': 0.02967359050445104, 'skin polyp': 0.03969666996373228, 'stye': 0.03916913946587537, 'thrombophlebitis': 0.02235410484668645, 'tooth abscess': 0.028288822947576658, 'viral exanthem': 0.02927794263105836, 'viral warts': 0.020375865479723046}"
