diseases,grouped symptoms,disease probability
prostate cancer,"{'involuntary urination': 0.7333333333333333, 'flushing': 0.6814814814814815, 'retention of urine': 0.674074074074074, 'impotence': 0.6074074074074074, 'blood in urine': 0.5555555555555556, 'pain during intercourse': 0.5185185185185185, 'symptoms of prostate': 0.5185185185185185, 'excessive urination at night': 0.5111111111111111}",0.005
prostatitis,"{'sharp abdominal pain': 0.6725403817914831, 'retention of urine': 0.6637298091042585, 'impotence': 0.5506607929515418, 'blood in urine': 0.5433186490455213, 'frequent urination': 0.5227606461086637, 'lower abdominal pain': 0.5139500734214391, 'chills': 0.5124816446402349, 'fever': 0.5095447870778267, 'painful urination': 0.5022026431718062, 'back pain': 0.4845814977973568}",0.01
protein deficiency,"{'depression': 0.90625, 'vomiting': 0.8125, 'smoking problems': 0.75, 'weakness': 0.671875, 'nausea': 0.59375}",0.005
pseudohypoparathyroidism,"{'leg pain': 1.0, 'wrist pain': 0.8333333333333334, 'knee pain': 0.6666666666666666, 'elbow weakness': 0.5}",0.0005
pseudotumor cerebri,"{'abnormal involuntary movements': 0.9583333333333334, 'pain in eye': 0.7708333333333334, 'diminished vision': 0.6041666666666666, 'dizziness': 0.5208333333333334, 'headache': 0.5208333333333334}",0.002
psoriasis,"{'skin swelling': 0.6513157894736842, 'skin rash': 0.5537280701754386, 'irregular appearing scalp': 0.5350877192982456, 'itchy scalp': 0.5131578947368421, 'skin growth': 0.5109649122807017, 'skin moles': 0.5098684210526315, 'itching of skin': 0.5, 'skin dryness, peeling, scaliness, or roughness': 0.49780701754385964, 'abnormal appearing skin': 0.4967105263157895, 'joint pain': 0.4923245614035088, 'skin lesion': 0.48903508771929827}",0.05
psychosexual disorder,"{'involuntary urination': 0.8333333333333334, 'depression': 0.625, 'premature ejaculation': 0.5178571428571429, 'fatigue': 0.5059523809523809, 'loss of sex drive': 0.5, 'pain during intercourse': 0.49404761904761907, 'impotence': 0.4880952380952381}",0.001
psychotic disorder,"{'insomnia': 0.6906873614190687, 'hostile behavior': 0.5432372505543237, 'delusions or hallucinations': 0.5155210643015521, 'fears and phobias': 0.5155210643015521, 'depression': 0.5133037694013304, 'temper problems': 0.5133037694013304, 'abusing alcohol': 0.5044345898004434, 'depressive or psychotic symptoms': 0.4977827050997783, 'hysterical behavior': 0.4977827050997783, 'excessive anger': 0.49667405764966743, 'anxiety and nervousness': 0.4811529933481153}",0.02
pterygium,"{'symptoms of eye': 0.7906976744186046, 'acne or pimples': 0.7813953488372093, 'lacrimation': 0.7255813953488373, 'foreign body sensation in eye': 0.6976744186046512, 'eye redness': 0.5674418604651162, 'spots or clouds in vision': 0.5627906976744186, 'diminished vision': 0.5209302325581395}",0.005
pulmonary congestion,"{'cough': 0.7062374245472837, 'chest tightness': 0.6800804828973843, 'leg swelling': 0.6780684104627767, 'sharp chest pain': 0.5392354124748491, 'nasal congestion': 0.5271629778672032, 'shortness of breath': 0.5110663983903421, 'weakness': 0.4909456740442656, 'fever': 0.482897384305835, 'decreased heart rate': 0.4768611670020121}",0.01
pulmonary embolism,"{'leg pain': 0.6886363636363636, 'sharp chest pain': 0.5295454545454545, 'cough': 0.5227272727272727, 'side pain': 0.5147727272727273, 'difficulty breathing': 0.509090909090909, 'leg swelling': 0.5079545454545454, 'sweating': 0.5079545454545454, 'shortness of breath': 0.5056818181818182, 'hemoptysis': 0.5011363636363636, 'weakness': 0.49772727272727274, 'chest tightness': 0.48977272727272725}",0.005
pulmonary eosinophilia,"{'paresthesia': 0.8162162162162162, 'dizziness': 0.7567567567567568, 'cough': 0.5567567567567567, 'nasal congestion': 0.518918918918919, 'sharp chest pain': 0.5135135135135135, 'fever': 0.5027027027027027, 'shortness of breath': 0.4972972972972973}",0.001
pulmonary fibrosis,"{'chest tightness': 0.864406779661017, 'fever': 0.5847457627118644, 'shortness of breath': 0.5677966101694916, 'sharp chest pain': 0.5677966101694916, 'fainting': 0.559322033898305, 'cough': 0.5423728813559322, 'difficulty breathing': 0.4915254237288136}",0.002
pulmonary hypertension,"{'feeling ill': 0.757847533632287, 'apnea': 0.6569506726457399, 'sharp chest pain': 0.5224215246636771, 'palpitations': 0.5201793721973094, 'difficulty breathing': 0.5201793721973094, 'shortness of breath': 0.515695067264574, 'fatigue': 0.5089686098654709, 'hemoptysis': 0.4977578475336323, 'cough': 0.49327354260089684}",0.005
pulmonic valve disease,"{'shortness of breath': 1.0, 'emotional symptoms': 1.0}",0.001
pyelonephritis,"{'sharp abdominal pain': 0.6843853820598007, 'low back pain': 0.5204872646733112, 'frequent urination': 0.5182724252491694, 'side pain': 0.5171650055370985, 'nausea': 0.5149501661129569, 'lower abdominal pain': 0.5083056478405316, 'painful urination': 0.5060908084163898, 'vomiting': 0.49612403100775193, 'blood in urine': 0.49612403100775193, 'suprapubic pain': 0.4806201550387597, 'back pain': 0.4684385382059801}",0.01
pyloric stenosis,"{'arm stiffness or tightness': 0.9375, 'cough': 0.75, 'vomiting': 0.6875}",0.002
pyogenic skin infection,"{'foot or toe pain': 0.6575192096597146, 'abnormal appearing skin': 0.531284302963776, 'peripheral edema': 0.5181119648737651, 'leg swelling': 0.5159165751920965, 'skin rash': 0.5115257958287596, 'hand or finger swelling': 0.5082327113062569, 'leg pain': 0.4983534577387486, 'foot or toe swelling': 0.4983534577387486, 'skin lesion': 0.49176728869374314, 'skin swelling': 0.48957189901207465, 'hand or finger pain': 0.48737650933040616}",0.03
raynaud disease,"{'hand or finger pain': 1.0, 'hand or finger swelling': 0.9166666666666666, 'loss of sensation': 0.5833333333333334}",0.01
reactive arthritis,"{'hip pain': 1.0, 'knee lump or mass': 1.0}",0.005
rectal disorder,"{'heartburn': 0.6729490022172949, 'pain of the anus': 0.5299334811529933, 'constipation': 0.524390243902439, 'sharp abdominal pain': 0.5199556541019955, 'burning abdominal pain': 0.516629711751663, 'rectal bleeding': 0.5110864745011087, 'cramps and spasms': 0.4977827050997783, 'diarrhea': 0.49223946784922396, 'blood in stool': 0.4911308203991131, 'melena': 0.4811529933481153, 'itching of the anus': 0.4722838137472284}",0.01
restless leg syndrome,"{'insomnia': 0.8056537102473498, 'fatigue': 0.6713780918727915, 'headache': 0.5335689045936396, 'abnormal involuntary movements': 0.5123674911660777, 'sleepiness': 0.5017667844522968, 'depression': 0.49823321554770317, 'leg pain': 0.49823321554770317, 'apnea': 0.48056537102473496}",0.02
retinal detachment,"{'double vision': 0.8071428571428572, 'lacrimation': 0.675, 'itchiness of eye': 0.5607142857142857, 'pain in eye': 0.5285714285714286, 'spots or clouds in vision': 0.5214285714285715, 'diminished vision': 0.5, 'symptoms of eye': 0.5, 'blindness': 0.49642857142857144}",0.002
retinopathy due to high blood pressure,"{'pus draining from ear': 0.8478260869565217, 'foreign body sensation in eye': 0.7101449275362319, 'pain in eye': 0.6304347826086957, 'diminished vision': 0.5579710144927537, 'symptoms of eye': 0.5507246376811594, 'spots or clouds in vision': 0.5}",0.03
rhabdomyolysis,"{'leg pain': 1.0, 'arm pain': 0.625, 'depressive or psychotic symptoms': 0.5625, 'sharp chest pain': 0.5, 'hoarse voice': 0.375}",0.001
rheumatic fever,"{'knee lump or mass': 1.0, 'itchiness of eye': 1.0}",0.0005
rheumatoid arthritis,"{'wrist swelling': 0.6784660766961652, 'elbow swelling': 0.6710914454277286, 'ache all over': 0.5221238938053098, 'wrist pain': 0.5117994100294986, 'knee pain': 0.504424778761062, 'joint swelling': 0.504424778761062, 'joint pain': 0.49852507374631266, 'peripheral edema': 0.49262536873156343, 'hand or finger swelling': 0.4911504424778761, 'hand or finger pain': 0.47345132743362833}",0.02
rocky mountain spotted fever,"{'headache': 1.0, 'wrist pain': 1.0}",0.0005
rosacea,"{'abnormal appearing skin': 0.6740412979351033, 'symptoms of eye': 0.6651917404129793, 'skin growth': 0.5191740412979351, 'acne or pimples': 0.5088495575221239, 'skin dryness, peeling, scaliness, or roughness': 0.5088495575221239, 'skin moles': 0.504424778761062, 'skin lesion': 0.5014749262536873, 'skin swelling': 0.4808259587020649, 'lymphedema': 0.47345132743362833, 'itching of skin': 0.47345132743362833}",0.03
rotator cuff injury,"{'hand or finger stiffness or tightness': 0.8738738738738738, 'arm stiffness or tightness': 0.7657657657657657, 'shoulder pain': 0.5225225225225225, 'shoulder weakness': 0.5135135135135135, 'arm pain': 0.5045045045045045, 'shoulder stiffness or tightness': 0.5045045045045045}",0.01
salivary gland disorder,"{'cough': 0.8387096774193549, 'throat feels tight': 0.7903225806451613, 'sore throat': 0.7580645161290323, 'swollen lymph nodes': 0.7258064516129032}",0.005
sarcoidosis,"{'facial pain': 0.7454545454545455, 'sharp chest pain': 0.7242424242424242, 'pain in eye': 0.6878787878787879, 'peripheral edema': 0.5666666666666667, 'cough': 0.5393939393939394, 'headache': 0.5393939393939394, 'shortness of breath': 0.5212121212121212, 'chest tightness': 0.5060606060606061}",0.001
scabies,"{'unpredictable menstruation': 0.8342245989304813, 'foot or toe swelling': 0.732620320855615, 'skin swelling': 0.5294117647058824, 'problems during pregnancy': 0.5187165775401069, 'itching of skin': 0.5133689839572193, 'abnormal appearing skin': 0.48663101604278075, 'skin rash': 0.47593582887700536}",0.02
scar,"{'skin swelling': 0.75390625, 'skin moles': 0.71875, 'lip swelling': 0.67578125, 'skin lesion': 0.6484375, 'abnormal appearing skin': 0.52734375, 'itching of skin': 0.49609375, 'skin growth': 0.46484375}",0.02
scarlet fever,"{'throat swelling': 0.8555555555555555, 'skin swelling': 0.7, 'fever': 0.6111111111111112, 'skin rash': 0.5222222222222223, 'sore throat': 0.4888888888888889, 'cough': 0.4444444444444444}",0.0005
schizophrenia,"{'insomnia': 0.6730337078651686, 'depression': 0.5314606741573034, 'hysterical behavior': 0.5235955056179775, 'fears and phobias': 0.5224719101123596, 'excessive anger': 0.5191011235955056, 'depressive or psychotic symptoms': 0.5067415730337078, 'temper problems': 0.5067415730337078, 'delusions or hallucinations': 0.5044943820224719, 'low self-esteem': 0.503370786516854, 'anxiety and nervousness': 0.4853932584269663, 'hostile behavior': 0.4853932584269663}",0.002
sciatica,"{'leg pain': 0.6676646706586826, 'problems with movement': 0.6676646706586826, 'low back pain': 0.5269461077844312, 'lower body pain': 0.5269461077844312, 'leg weakness': 0.5239520958083832, 'loss of sensation': 0.5179640718562875, 'hip pain': 0.49850299401197606, 'back cramps or spasms': 0.4880239520958084, 'unusual color or odor to urine': 0.4805389221556886, 'leg cramps or spasms': 0.47305389221556887}",0.02
scleritis,"{'abnormal involuntary movements': 0.9347826086956522, 'headache': 0.717391304347826, 'eye redness': 0.6521739130434783, 'spots or clouds in vision': 0.5652173913043478, 'pain in eye': 0.5217391304347826}",0.001
scleroderma,"{'feeling ill': 0.772189349112426, 'skin lesion': 0.6627218934911243, 'skin irritation': 0.6242603550295858, 'lip swelling': 0.5236686390532544, 'skin growth': 0.5088757396449705, 'abnormal appearing skin': 0.5059171597633136, 'skin dryness, peeling, scaliness, or roughness': 0.4911242603550296, 'itching of skin': 0.45857988165680474}",0.001
scoliosis,"{'knee stiffness or tightness': 0.8304093567251462, 'knee swelling': 0.672514619883041, 'low back pain': 0.5146198830409356, 'problems with movement': 0.5029239766081871, 'lower body pain': 0.49707602339181284, 'leg pain': 0.47953216374269003, 'back pain': 0.47368421052631576}",0.02
scurvy,"{'sharp abdominal pain': 1.0, 'knee lump or mass': 1.0}",0.001
seasonal allergies (hay fever),"{'lacrimation': 0.6780219780219781, 'ear pain': 0.5340659340659341, 'frontal headache': 0.5186813186813187, 'coryza': 0.5131868131868131, 'headache': 0.510989010989011, 'allergic reaction': 0.5098901098901099, 'sneezing': 0.5065934065934066, 'cough': 0.5, 'nasal congestion': 0.49230769230769234, 'sore throat': 0.4901098901098901, 'itchiness of eye': 0.4868131868131868}",0.1
sebaceous cyst,"{'skin moles': 0.6703176341730559, 'skin growth': 0.5290251916757941, 'neck mass': 0.52026286966046, 'hand or finger lump or mass': 0.5191675794085433, 'irregular appearing scalp': 0.5104052573932092, 'acne or pimples': 0.5005476451259584, 'abnormal appearing skin': 0.4950711938663746, 'back mass or lump': 0.49178532311062434, 'skin swelling': 0.4895947426067908, 'skin lesion': 0.48630887185104055, 'arm lump or mass': 0.484118291347207}",0.01
seborrheic dermatitis,"{'acne or pimples': 0.6590909090909091, 'skin dryness, peeling, scaliness, or roughness': 0.5295454545454545, 'skin lesion': 0.5204545454545455, 'irregular appearing scalp': 0.5204545454545455, 'dry or flaky scalp': 0.5204545454545455, 'itching of skin': 0.5147727272727273, 'skin growth': 0.5125, 'symptoms of the face': 0.5102272727272728, 'skin rash': 0.5068181818181818, 'too little hair': 0.5022727272727273, 'abnormal appearing skin': 0.5}",0.02
seborrheic keratosis,"{'itching of skin': 0.6597701149425287, 'skin moles': 0.5459770114942529, 'abnormal appearing skin': 0.5402298850574713, 'skin growth': 0.5367816091954023, 'skin irritation': 0.5172413793103449, 'skin rash': 0.5160919540229885, 'warts': 0.5137931034482759, 'skin lesion': 0.5080459770114942, 'irregular appearing scalp': 0.506896551724138, 'acne or pimples': 0.503448275862069, 'skin swelling': 0.48160919540229885}",0.005
sensorineural hearing loss,"{'hoarse voice': 0.6651982378854625, 'throat feels tight': 0.6505139500734214, 'ear pain': 0.5330396475770925, 'nasal congestion': 0.5242290748898678, 'plugged feeling in ear': 0.5036710719530103, 'diminished hearing': 0.5022026431718062, 'fluid in ear': 0.4933920704845815, 'itchy ear(s)': 0.49045521292217326, 'ringing in ear': 0.48751835535976507, 'dizziness': 0.4787077826725404}",0.01
sepsis,"{'shortness of breath': 0.6633663366336634, 'fever': 0.5379537953795379, 'feeling ill': 0.5302530253025303, 'vomiting': 0.5104510451045104, 'difficulty breathing': 0.5104510451045104, 'weakness': 0.5071507150715071, 'cough': 0.506050605060506, 'decreased appetite': 0.5027502750275028, 'sharp abdominal pain': 0.5016501650165016, 'suprapubic pain': 0.5005500550055005, 'chills': 0.49944994499449946}",0.002
septic arthritis,"{'leg pain': 0.8870967741935484, 'hip pain': 0.8709677419354839, 'knee swelling': 0.5806451612903226, 'knee pain': 0.532258064516129, 'fever': 0.4838709677419355}",0.001
shingles (herpes zoster),"{'sharp chest pain': 0.8073878627968337, 'headache': 0.7255936675461742, 'skin rash': 0.5883905013192612, 'skin lesion': 0.5857519788918206, 'back pain': 0.5382585751978892, 'abnormal appearing skin': 0.5356200527704486, 'itching of skin': 0.5356200527704486, 'facial pain': 0.5277044854881267, 'pain in eye': 0.5277044854881267}",0.02
sialoadenitis,"{'swollen lymph nodes': 0.693516699410609, 'cough': 0.6522593320235757, 'sore throat': 0.650294695481336, 'facial pain': 0.5265225933202358, 'peripheral edema': 0.5206286836935167, 'nasal congestion': 0.5147347740667977, 'neck swelling': 0.5029469548133595, 'jaw swelling': 0.4950884086444008, 'neck mass': 0.48919449901768175}",0.001
sick sinus syndrome,"{'shortness of breath': 0.740506329113924, 'increased heart rate': 0.6645569620253164, 'irregular heartbeat': 0.5822784810126582, 'dizziness': 0.5379746835443038, 'fainting': 0.5316455696202531, 'palpitations': 0.5126582278481012, 'decreased heart rate': 0.46835443037974683, 'weakness': 0.44936708860759494}",0.001
sickle cell anemia,"{'dry lips': 0.8805309734513275, 'ache all over': 0.5442477876106194, 'temper problems': 0.5132743362831859, 'pulling at ears': 0.5132743362831859, 'back pain': 0.5088495575221239, 'fever': 0.504424778761062, 'joint pain': 0.48672566371681414, 'leg pain': 0.46017699115044247}",0.001
sickle cell crisis,"{'vomiting': 0.683461117196057, 'arm pain': 0.5432639649507119, 'sharp abdominal pain': 0.5125958378970427, 'leg pain': 0.5049288061336255, 'knee pain': 0.5049288061336255, 'burning abdominal pain': 0.4994523548740416, 'back pain': 0.4950711938663746, 'low back pain': 0.49069003285870755, 'ache all over': 0.4895947426067908, 'hip pain': 0.488499452354874, 'sharp chest pain': 0.48521358159912376}",0.002
sinus bradycardia,"{'chest tightness': 0.682068206820682, 'irregular heartbeat': 0.5379537953795379, 'fainting': 0.5203520352035204, 'decreased heart rate': 0.5181518151815182, 'increased heart rate': 0.5148514851485149, 'sharp chest pain': 0.5038503850385039, 'feeling ill': 0.5016501650165016, 'palpitations': 0.4961496149614962, 'weakness': 0.4961496149614962, 'shortness of breath': 0.49504950495049505, 'dizziness': 0.49394939493949397}",0.002
sjogren syndrome,"{'pain in eye': 0.9347826086956522, 'difficulty in swallowing': 0.7934782608695652, 'diminished vision': 0.5760869565217391, 'symptoms of eye': 0.5108695652173914, 'ache all over': 0.5, 'joint pain': 0.44565217391304346}",0.001
skin cancer,"{'irregular appearing scalp': 0.680786686838124, 'lip swelling': 0.6717095310136157, 'skin lesion': 0.5219364599092284, 'skin growth': 0.5143721633888049, 'skin moles': 0.5128593040847201, 'warts': 0.5098335854765507, 'skin irritation': 0.5007564296520424, 'abnormal appearing skin': 0.4947049924357035, 'skin dryness, peeling, scaliness, or roughness': 0.49319213313161875, 'skin swelling': 0.48411497730711045}",0.005
skin disorder,"{'abnormal appearing skin': 0.6923076923076923, 'skin irritation': 0.665680473372781, 'skin moles': 0.5281065088757396, 'skin lesion': 0.5266272189349113, 'skin dryness, peeling, scaliness, or roughness': 0.5192307692307693, 'itching of skin': 0.5133136094674556, 'skin growth': 0.5118343195266272, 'acne or pimples': 0.507396449704142, 'irregular appearing scalp': 0.47781065088757396, 'skin swelling': 0.47485207100591714}",0.02
skin pigmentation disorder,"{'irregular appearing scalp': 0.6919691969196919, 'warts': 0.5489548954895489, 'skin growth': 0.5313531353135313, 'skin moles': 0.5192519251925193, 'skin dryness, peeling, scaliness, or roughness': 0.5093509350935094, 'acne or pimples': 0.506050605060506, 'abnormal appearing skin': 0.5038503850385039, 'itching of skin': 0.49724972497249725, 'skin rash': 0.4961496149614962, 'skin swelling': 0.49504950495049505, 'skin lesion': 0.48514851485148514}",0.002
skin polyp,"{'skin swelling': 0.6711259754738016, 'skin moles': 0.5507246376811594, 'warts': 0.5351170568561873, 'irregular appearing scalp': 0.5250836120401338, 'skin growth': 0.5105908584169454, 'acne or pimples': 0.5094760312151616, 'abnormal appearing skin': 0.5083612040133779, 'skin dryness, peeling, scaliness, or roughness': 0.5050167224080268, 'skin irritation': 0.4927536231884058, 'itching of skin': 0.49052396878483834, 'skin lesion': 0.48717948717948717}",0.005
smoking or tobacco addiction,"{'excessive anger': 0.6568516421291053, 'smoking problems': 0.5390713476783692, 'hurts to breath': 0.5288788221970555, 'drug abuse': 0.5266138165345413, 'sharp chest pain': 0.5254813137032842, 'coughing up sputum': 0.5152887882219706, 'abusing alcohol': 0.5130237825594564, 'cough': 0.5084937712344281, 'headache': 0.49943374858437145, 'hemoptysis': 0.49943374858437145, 'shortness of breath': 0.4960362400906002}",0.05
social phobia,"{'abusing alcohol': 0.6810176125244618, 'excessive appetite': 0.6790606653620352, 'excessive anger': 0.675146771037182, 'depression': 0.5107632093933464, 'fears and phobias': 0.5009784735812133, 'anxiety and nervousness': 0.4892367906066536, 'insomnia': 0.4892367906066536, 'delusions or hallucinations': 0.48336594911937375, 'depressive or psychotic symptoms': 0.47162426614481406}",0.02
soft tissue sarcoma,"{'groin mass': 0.8128654970760234, 'skin dryness, peeling, scaliness, or roughness': 0.6608187134502924, 'skin moles': 0.5321637426900585, 'itching of skin': 0.5263157894736842, 'skin lesion': 0.5029239766081871, 'abnormal appearing skin': 0.49122807017543857, 'skin growth': 0.4853801169590643}",0.001
somatization disorder,"{'fainting': 0.8860759493670886, 'dizziness': 0.810126582278481, 'depression': 0.6075949367088608, 'anxiety and nervousness': 0.569620253164557, 'ache all over': 0.5189873417721519}",0.002
spermatocele,"{'frequent urination': 0.9135802469135802, 'retention of urine': 0.7777777777777778, 'elbow weakness': 0.7160493827160493, 'mass in scrotum': 0.5679012345679012, 'pain in testicles': 0.5432098765432098}",0.002
spherocytosis,"{'cough': 1.0, 'elbow weakness': 1.0, 'skin rash': 0.8}",0.001
spina bifida,"{'eye moves abnormally': 0.8902439024390244, 'disturbance of memory': 0.6951219512195121, 'skin lesion': 0.573170731707317, 'back pain': 0.5609756097560976, 'headache': 0.5487804878048781, 'involuntary urination': 0.5121951219512195}",0.0005
spinal stenosis,"{'back pain': 0.5153272576636289, 'neck pain': 0.5144987572493787, 'problems with movement': 0.5144987572493787, 'arm pain': 0.512013256006628, 'lower body pain': 0.5103562551781275, 'hip pain': 0.5095277547638773, 'low back pain': 0.5062137531068766, 'paresthesia': 0.4979287489643745, 'headache': 0.49627174813587405, 'loss of sensation': 0.49295774647887325, 'leg pain': 0.4904722452361226, 'shoulder pain': 0.4863297431648716}",0.005
spinocerebellar ataxia,"{'anxiety and nervousness': 1.0, 'abnormal involuntary movements': 0.75, 'dizziness': 0.625, 'problems with movement': 0.375}",0.001
spondylitis,"{'stiffness all over': 0.738359201773836, 'side pain': 0.6585365853658537, 'low back pain': 0.5277161862527716, 'back pain': 0.5099778270509978, 'back mass or lump': 0.5077605321507761, 'lower body pain': 0.5033259423503326, 'leg pain': 0.5011086474501109, 'hip pain': 0.49889135254988914, 'neck pain': 0.4811529933481153}",0.002
spondylolisthesis,"{'leg cramps or spasms': 0.6686478454680534, 'hip pain': 0.6612184249628529, 'low back pain': 0.5230312035661219, 'back pain': 0.5185735512630015, 'neck pain': 0.5066864784546805, 'paresthesia': 0.5066864784546805, 'loss of sensation': 0.5037147102526003, 'leg weakness': 0.4933135215453195, 'leg pain': 0.4903417533432392, 'problems with movement': 0.4814264487369985}",0.001
spondylosis,"{'neck pain': 0.5172697368421053, 'low back pain': 0.5164473684210527, 'ache all over': 0.515625, 'back pain': 0.5106907894736842, 'arm pain': 0.506578947368421, 'loss of sensation': 0.506578947368421, 'hip pain': 0.5008223684210527, 'lower body pain': 0.4975328947368421, 'knee pain': 0.49506578947368424, 'shoulder pain': 0.4901315789473684, 'paresthesia': 0.48273026315789475, 'leg pain': 0.48026315789473684}",0.01
spontaneous abortion,"{'burning abdominal pain': 0.5239273927392739, 'uterine contractions': 0.518976897689769, 'pain during pregnancy': 0.5132013201320133, 'pelvic pain': 0.5107260726072608, 'heavy menstrual flow': 0.5041254125412541, 'intermenstrual bleeding': 0.5016501650165016, 'lower abdominal pain': 0.5008250825082509, 'spotting or bleeding during pregnancy': 0.5, 'problems during pregnancy': 0.49834983498349833, 'cramps and spasms': 0.4933993399339934, 'sharp abdominal pain': 0.485973597359736, 'blood clots during menstrual periods': 0.48267326732673266}",0.01
sporotrichosis,"{'wrist pain': 1.0, 'knee pain': 1.0}",0.0005
sprain or strain,"{'back pain': 0.518976897689769, 'arm pain': 0.514026402640264, 'wrist pain': 0.5123762376237624, 'foot or toe pain': 0.5115511551155115, 'low back pain': 0.5057755775577558, 'shoulder pain': 0.5024752475247525, 'headache': 0.5016501650165016, 'neck pain': 0.5016501650165016, 'hand or finger pain': 0.5008250825082509, 'ankle pain': 0.4975247524752475, 'knee pain': 0.49504950495049505, 'leg pain': 0.48267326732673266}",0.05
stenosis of the tear duct,"{'white discharge from eye': 0.8235294117647058, 'abnormal movement of eyelid': 0.7549019607843137, 'cough': 0.696078431372549, 'symptoms of eye': 0.6470588235294118, 'lacrimation': 0.47058823529411764}",0.001
stomach cancer,"{'difficulty in swallowing': 0.8516129032258064, 'diarrhea': 0.8516129032258064, 'sharp abdominal pain': 0.632258064516129, 'nausea': 0.5612903225806452, 'burning abdominal pain': 0.5612903225806452, 'vomiting': 0.5096774193548387, 'heartburn': 0.5096774193548387}",0.002
strep throat,"{'vomiting': 0.5272727272727272, 'headache': 0.5214876033057851, 'ear pain': 0.5165289256198347, 'skin rash': 0.515702479338843, 'decreased appetite': 0.5074380165289256, 'chills': 0.5057851239669422, 'nasal congestion': 0.5024793388429752, 'ache all over': 0.5024793388429752, 'cough': 0.5008264462809917, 'fever': 0.5, 'sore throat': 0.4884297520661157, 'difficulty in swallowing': 0.48512396694214877}",0.05
stress incontinence,"{'hot flashes': 0.807843137254902, 'intermenstrual bleeding': 0.7019607843137254, 'retention of urine': 0.6941176470588235, 'painful urination': 0.6862745098039216, 'frequent urination': 0.5647058823529412, 'involuntary urination': 0.5254901960784314, 'blood in urine': 0.5019607843137255}",0.02
stricture of the esophagus,"{'heartburn': 0.8255813953488372, 'sharp chest pain': 0.7790697674418605, 'difficulty in swallowing': 0.7093023255813954, 'problems with movement': 0.7093023255813954, 'vomiting': 0.686046511627907, 'regurgitation.1': 0.5465116279069767}",0.002
stroke,"{'headache': 0.7429906542056075, 'problems with movement': 0.6947040498442367, 'focal weakness': 0.5280373831775701, 'dizziness': 0.5233644859813084, 'slurring words': 0.5202492211838006, 'abnormal involuntary movements': 0.5109034267912772, 'seizures': 0.5109034267912772, 'difficulty speaking': 0.5015576323987538, 'disturbance of memory': 0.4984423676012461, 'depressive or psychotic symptoms': 0.4968847352024922}",0.05
stye,"{'skin swelling': 0.6541850220264317, 'eyelid lesion or rash': 0.539647577092511, 'swollen eye': 0.5341409691629956, 'eyelid swelling': 0.5165198237885462, 'mass on eyelid': 0.5088105726872246, 'eye burns or stings': 0.5066079295154186, 'pain in eye': 0.5055066079295154, 'itchiness of eye': 0.5055066079295154, 'abnormal appearing skin': 0.5044052863436124, 'symptoms of eye': 0.5044052863436124, 'eye redness': 0.4900881057268722}",0.005
subacute thyroiditis,"{'blood in stool': 0.9666666666666667, 'palpitations': 0.8333333333333334, 'problems during pregnancy': 0.8, 'pain during pregnancy': 0.6, 'uterine contractions': 0.6}",0.002
subarachnoid hemorrhage,"{'symptoms of eye': 0.8357142857142857, 'vomiting': 0.7214285714285714, 'fainting': 0.6714285714285714, 'loss of sensation': 0.6428571428571429, 'dizziness': 0.6142857142857143, 'headache': 0.5714285714285714}",0.001
subconjunctival hemorrhage,"{'foreign body sensation in eye': 0.7951807228915663, 'headache': 0.714859437751004, 'pain in eye': 0.5943775100401606, 'bleeding from eye': 0.5662650602409639, 'eye redness': 0.5461847389558233, 'diminished vision': 0.5421686746987951, 'symptoms of eye': 0.5100401606425703, 'facial pain': 0.4859437751004016}",0.005
subdural hemorrhage,"{'irritable infant': 0.7841726618705036, 'dizziness': 0.7338129496402878, 'vomiting': 0.7266187050359713, 'facial pain': 0.6834532374100719, 'depressive or psychotic symptoms': 0.6115107913669064, 'headache': 0.5179856115107914}",0.001
substance-related mental disorder,"{'hostile behavior': 0.7981220657276995, 'insomnia': 0.6854460093896714, 'anxiety and nervousness': 0.6807511737089202, 'depressive or psychotic symptoms': 0.5352112676056338, 'feeling ill': 0.5352112676056338, 'delusions or hallucinations': 0.5070422535211268, 'drug abuse': 0.5023474178403756}",0.01
syndrome of inappropriate secretion of adh (siadh),"{'feeling ill': 1.0, 'dizziness': 0.75, 'cross-eyed': 0.75}",0.001
syphilis,"{'muscle pain': 0.9666666666666667, 'vaginal discharge': 0.8, 'skin rash': 0.6333333333333333, 'headache': 0.5666666666666667}",0.005
syringomyelia,"{'fainting': 1.0, 'headache': 0.8571428571428571, 'shoulder pain': 0.6428571428571429, 'back pain': 0.5714285714285714}",0.001
systemic lupus erythematosis (sle),"{'hand or finger stiffness or tightness': 0.7735849056603774, 'bones are painful': 0.7672955974842768, 'knee pain': 0.6918238993710691, 'leg swelling': 0.6729559748427673, 'sharp chest pain': 0.559748427672956, 'ache all over': 0.5534591194968553}",0.005
teething syndrome,"{'cough': 0.7831050228310502, 'ear pain': 0.634703196347032, 'symptoms of infants': 0.541095890410959, 'redness in ear': 0.5273972602739726, 'diarrhea': 0.5182648401826484, 'fever': 0.5159817351598174, 'nasal congestion': 0.502283105022831, 'decreased appetite': 0.502283105022831, 'temper problems': 0.4863013698630137}",0.005
