Disease,Recommendations,Doctor
sickle cell anemia,"['Consult a healthcare provider for evaluation', 'Consider pain management and blood transfusions', 'Engage in regular follow-up care']",Hematologist
sickle cell crisis,"['Seek immediate medical attention', 'Consider pain management and hydration', 'Engage in follow-up care']",Hematologist
sinus bradycardia,"['Consult a cardiologist for evaluation', 'Consider monitoring and treatment if symptomatic', 'Engage in follow-up care']",Cardiologist
sjogren syndrome,"['Consult a rheumatologist for evaluation', 'Consider symptom management and monitoring', 'Engage in regular follow-up care']",Rheumatologist
skin cancer,"['Consult a dermatologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular skin checks']",Dermatologist
skin disorder,"['Consult a healthcare provider for evaluation', 'Consider topical treatments and lifestyle changes', 'Engage in follow-up care']",Dermatologist
skin pigmentation disorder,"['Consult a dermatologist for evaluation', 'Consider topical treatments and monitoring', 'Engage in follow-up care']",Dermatologist
skin polyp,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible removal', 'Engage in follow-up care']",Dermatologist
smoking or tobacco addiction,"['Consult a healthcare provider for evaluation', 'Consider smoking cessation programs and support', 'Engage in follow-up care']",Pulmonologist
social phobia,"['Consult a mental health professional for evaluation', 'Consider therapy and support groups', 'Engage in follow-up care']",Psychiatrist
soft tissue sarcoma,"['Consult an oncologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular follow-up care']",Oncologist
somatization disorder,"['Consult a mental health professional for evaluation', 'Consider therapy and symptom management', 'Engage in follow-up care']",Psychiatrist
spermatocele,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible removal if symptomatic', 'Engage in follow-up care']",Urologist
spherocytosis,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible splenectomy', 'Engage in follow-up care']",Hematologist
spina bifida,"['Consult a healthcare provider for evaluation', 'Consider multidisciplinary care and possible surgery', 'Engage in regular follow-up care']",Neurosurgeon
spinal stenosis,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in follow-up care']",Orthopedic Specialist
spinocerebellar ataxia,"['Consult a healthcare provider for evaluation', 'Consider symptom management and monitoring', 'Engage in regular follow-up care']",Neurologist
spondylitis,"['Consult a rheumatologist for evaluation', 'Consider medications and physical therapy', 'Engage in regular follow-up care']",Rheumatologist
spondylolisthesis,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Orthopedic Specialist
spondylosis,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in follow-up care']",Orthopedic Specialist
spontaneous abortion,"['Consult a healthcare provider for evaluation', 'Consider emotional support and monitoring', 'Engage in follow-up care']",Gynecologist
sporotrichosis,"['Consult a healthcare provider for evaluation', 'Consider antifungal treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
sprain or strain,"['Consult a healthcare provider for evaluation', 'Consider rest, ice, compression, and elevation (RICE)', 'Engage in follow-up care']",Orthopedic Specialist
stenosis of the tear duct,"['Consult an ophthalmologist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Ophthalmologist
stomach cancer,"['Consult an oncologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular follow-up care']",Oncologist
strep throat,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and symptom management', 'Engage in follow-up care']",Otolaryngologist
stress incontinence,"['Consult a healthcare provider for evaluation', 'Consider pelvic floor exercises and treatments', 'Engage in follow-up care']",Urologist
stricture of the esophagus,"['Consult a healthcare provider for evaluation', 'Consider dilation and monitoring', 'Engage in follow-up care']",Gastroenterologist
stroke,"['Seek immediate medical attention', 'Consider emergency treatment and rehabilitation', 'Engage in follow-up care']",Neurologist
stye,"['Consult a healthcare provider for evaluation', 'Consider warm compresses and possible drainage', 'Engage in follow-up care']",Ophthalmologist
subacute thyroiditis,"['Consult an endocrinologist for evaluation', 'Consider monitoring and symptomatic treatment', 'Engage in follow-up care']",Endocrinologist
subarachnoid hemorrhage,"['Seek immediate medical attention', 'Consider emergency treatment and monitoring', 'Engage in follow-up care']",Neurosurgeon
subconjunctival hemorrhage,"['Consult a healthcare provider for evaluation', 'Consider monitoring and reassurance', 'Engage in follow-up care']",Ophthalmologist
subdural hemorrhage,"['Seek immediate medical attention', 'Consider emergency treatment and monitoring', 'Engage in follow-up care']",Neurosurgeon
substance-related mental disorder,"['Consult a mental health professional for evaluation', 'Consider therapy and support groups', 'Engage in follow-up care']",Psychiatrist
syndrome of inappropriate secretion of adh (siadh),"['Consult an endocrinologist for evaluation', 'Consider fluid restriction and monitoring', 'Engage in follow-up care']",Endocrinologist
syphilis,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and partner notification', 'Engage in follow-up care']",Infectious Disease Specialist
syringomyelia,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Neurologist
systemic lupus erythematosus (sle),"['Consult a rheumatologist for evaluation', 'Consider medications and monitoring', 'Engage in regular follow-up care']",Rheumatologist
teething syndrome,"['Consult a pediatrician for evaluation', 'Consider pain management and soothing measures', 'Engage in follow-up care']",Pediatrician
temporary or benign blood in urine,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible testing', 'Engage in follow-up care']",Urologist
temporomandibular joint disorder,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and pain management', 'Engage in follow-up care']",Dentist
tendinitis,"['Consult a healthcare provider for evaluation', 'Consider rest, ice, and physical therapy', 'Engage in follow-up care']",Orthopedic Specialist
tension headache,"['Consult a healthcare provider for evaluation', 'Consider lifestyle modifications and pain management', 'Engage in follow-up care']",Neurologist
testicular cancer,"['Consult an oncologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular follow-up care']",Oncologist
testicular disorder,"['Consult a healthcare provider for evaluation', 'Consider monitoring and treatment options', 'Engage in follow-up care']",Urologist
testicular torsion,"['Seek immediate medical attention', 'Consider emergency surgery to restore blood flow', 'Engage in follow-up care']",Urologist
thalassemia,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible blood transfusions', 'Engage in regular follow-up care']",Hematologist
thoracic aortic aneurysm,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Cardiothoracic Surgeon
thoracic outlet syndrome,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and lifestyle modifications', 'Engage in follow-up care']",Orthopedic Specialist
threatened pregnancy,"['Consult an obstetrician for evaluation', 'Consider bed rest and monitoring', 'Engage in follow-up care']",Obstetrician
thrombocytopenia,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible treatments', 'Engage in follow-up care']",Hematologist
thrombophlebitis,"['Consult a healthcare provider for evaluation', 'Consider warm compresses and monitoring', 'Engage in follow-up care']",Vascular Surgeon
thyroid cancer,"['Consult an oncologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular follow-up care']",Oncologist
thyroid disease,"['Consult an endocrinologist for evaluation', 'Consider medication management and monitoring', 'Engage in follow-up care']",Endocrinologist
thyroid nodule,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible biopsy', 'Engage in follow-up care']",Endocrinologist
tic (movement) disorder,"['Consult a healthcare provider for evaluation', 'Consider behavioral therapy and monitoring', 'Engage in follow-up care']",Neurologist
tietze syndrome,"['Consult a healthcare provider for evaluation', 'Consider pain management and physical therapy', 'Engage in follow-up care']",Rheumatologist
tinnitus of unknown cause,"['Consult an audiologist for evaluation', 'Consider sound therapy and coping strategies', 'Engage in follow-up care']",Otolaryngologist
tonsillar hypertrophy,"['Consult an ear, nose, and throat (ENT) specialist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Otolaryngologist
tonsillitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and symptom management', 'Engage in follow-up care']",Otolaryngologist
tooth abscess,"['Consult a dentist for evaluation', 'Consider drainage and antibiotic treatment', 'Engage in follow-up care']",Dentist
tooth disorder,"['Consult a dentist for evaluation', 'Consider monitoring and treatment options', 'Engage in follow-up care']",Dentist
torticollis,"['Consult a healthcare provider for evaluation', 'Consider physical therapy and stretching exercises', 'Engage in follow-up care']",Neurologist
tourette syndrome,"['Consult a healthcare provider for evaluation', 'Consider behavioral therapy and monitoring', 'Engage in follow-up care']",Psychiatrist
toxic multinodular goiter,"['Consult an endocrinologist for evaluation', 'Consider radioactive iodine treatment and monitoring', 'Engage in follow-up care']",Endocrinologist
toxoplasmosis,"['Consult a healthcare provider for evaluation', 'Consider medication treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
tracheitis,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and symptom management', 'Engage in follow-up care']",Pulmonologist
transient ischemic attack,"['Seek immediate medical attention', 'Consider evaluation and preventive measures', 'Engage in follow-up care']",Neurologist
trichiasis,"['Consult an ophthalmologist for evaluation', 'Consider eyelash removal or surgery', 'Engage in follow-up care']",Ophthalmologist
trichinosis,"['Consult a healthcare provider for evaluation', 'Consider antiparasitic medication and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
trichomonas infection,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and partner notification', 'Engage in follow-up care']",Infectious Disease Specialist
tricuspid valve disease,"['Consult a cardiologist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Cardiologist
trigeminal neuralgia,"['Consult a healthcare provider for evaluation', 'Consider medication management and monitoring', 'Engage in follow-up care']",Neurologist
trigger finger (finger disorder),"['Consult a healthcare provider for evaluation', 'Consider splinting and possible surgical intervention', 'Engage in follow-up care']",Orthopedic Specialist
tuberculosis,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
tuberous sclerosis,"['Consult a healthcare provider for evaluation', 'Consider monitoring and multidisciplinary care', 'Engage in follow-up care']",Geneticist
turner syndrome,"['Consult a healthcare provider for evaluation', 'Consider hormonal therapy and monitoring', 'Engage in regular follow-up care']",Geneticist
typhoid fever,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and hydration', 'Engage in follow-up care']",Infectious Disease Specialist
ulcerative colitis,"['Consult a gastroenterologist for evaluation', 'Consider medication management and monitoring', 'Engage in follow-up care']",Gastroenterologist
urethral disorder,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible treatments', 'Engage in follow-up care']",Urologist
urethral stricture,"['Consult a urologist for evaluation', 'Consider dilation or surgical intervention', 'Engage in follow-up care']",Urologist
urethral valves,"['Consult a urologist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Urologist
urethritis,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and symptom management', 'Engage in follow-up care']",Urologist
urge incontinence,"['Consult a healthcare provider for evaluation', 'Consider pelvic floor exercises and monitoring', 'Engage in follow-up care']",Urologist
urinary tract infection,"['Consult a healthcare provider for evaluation', 'Consider antibiotic treatment and hydration', 'Engage in follow-up care']",Urologist
urinary tract obstruction,"['Consult a healthcare provider for evaluation', 'Consider imaging and possible intervention', 'Engage in follow-up care']",Urologist
uterine atony,"['Consult a healthcare provider for evaluation', 'Consider medications and possible surgical intervention', 'Engage in follow-up care']",Obstetrician
uterine cancer,"['Consult an oncologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular follow-up care']",Gynecologist
uterine fibroids,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Gynecologist
uveitis,"['Consult an ophthalmologist for evaluation', 'Consider corticosteroid treatment and monitoring', 'Engage in follow-up care']",Ophthalmologist
vacterl syndrome,"['Consult a healthcare provider for evaluation', 'Consider multidisciplinary care and monitoring', 'Engage in follow-up care']",Geneticist
vaginal cyst,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible drainage', 'Engage in follow-up care']",Gynecologist
vaginal yeast infection,"['Consult a healthcare provider for evaluation', 'Consider antifungal treatment and monitoring', 'Engage in follow-up care']",Gynecologist
vaginismus,"['Consult a healthcare provider for evaluation', 'Consider therapy and relaxation techniques', 'Engage in follow-up care']",Gynecologist
vaginitis,"['Consult a healthcare provider for evaluation', 'Consider medication treatment and monitoring', 'Engage in follow-up care']",Gynecologist
valley fever,"['Consult a healthcare provider for evaluation', 'Consider antifungal treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
varicocele of the testicles,"['Consult a urologist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Urologist
varicose veins,"['Consult a healthcare provider for evaluation', 'Consider compression stockings and lifestyle changes', 'Engage in follow-up care']",Vascular Surgeon
vasculitis,"['Consult a rheumatologist for evaluation', 'Consider immunosuppressive therapy and monitoring', 'Engage in regular follow-up care']",Rheumatologist
venous insufficiency,"['Consult a healthcare provider for evaluation', 'Consider compression therapy and lifestyle changes', 'Engage in follow-up care']",Vascular Surgeon
vertebrobasilar insufficiency,"['Consult a healthcare provider for evaluation', 'Consider imaging studies and monitoring', 'Engage in follow-up care']",Neurologist
vesicoureteral reflux,"['Consult a urologist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Urologist
viral exanthem,"['Consult a healthcare provider for evaluation', 'Consider monitoring and supportive care', 'Engage in follow-up care']",Infectious Disease Specialist
viral hepatitis,"['Consult a healthcare provider for evaluation', 'Consider antiviral treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
viral warts,"['Consult a healthcare provider for evaluation', 'Consider topical treatments or removal options', 'Engage in follow-up care']",Dermatologist
vitamin a deficiency,"['Consult a healthcare provider for evaluation', 'Consider dietary changes and supplementation', 'Engage in follow-up care']",Nutritionist
vitamin b12 deficiency,"['Consult a healthcare provider for evaluation', 'Consider dietary changes and supplementation', 'Engage in follow-up care']",Nutritionist
vitamin d deficiency,"['Consult a healthcare provider for evaluation', 'Consider dietary changes and supplementation', 'Engage in follow-up care']",Nutritionist
vitreous degeneration,"['Consult an ophthalmologist for evaluation', 'Consider monitoring and treatment options', 'Engage in follow-up care']",Ophthalmologist
vitreous hemorrhage,"['Consult an ophthalmologist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Ophthalmologist
vocal cord polyp,"['Consult an ear, nose, and throat (ENT) specialist for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Otolaryngologist
volvulus,"['Seek immediate medical attention', 'Consider surgical intervention', 'Engage in follow-up care']",Gastroenterologist
von willebrand disease,"['Consult a hematologist for evaluation', 'Consider treatment options and monitoring', 'Engage in follow-up care']",Hematologist
vulvar cancer,"['Consult an oncologist for evaluation', 'Consider surgical removal and treatment options', 'Engage in regular follow-up care']",Gynecologist
vulvar disorder,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible treatments', 'Engage in follow-up care']",Gynecologist
vulvodynia,"['Consult a healthcare provider for evaluation', 'Consider pain management and therapy options', 'Engage in follow-up care']",Gynecologist
wernicke korsakoff syndrome,"['Consult a healthcare provider for evaluation', 'Consider vitamin supplementation and therapy', 'Engage in follow-up care']",Neurologist
white blood cell disease,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible treatments', 'Engage in follow-up care']",Hematologist
whooping cough,"['Consult a healthcare provider for evaluation', 'Consider antibiotics and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
wilson disease,"['Consult a healthcare provider for evaluation', 'Consider medication management and monitoring', 'Engage in follow-up care']",Hepatologist
yeast infection,"['Consult a healthcare provider for evaluation', 'Consider antifungal treatment and monitoring', 'Engage in follow-up care']",Infectious Disease Specialist
zenker diverticulum,"['Consult a healthcare provider for evaluation', 'Consider monitoring and possible surgical intervention', 'Engage in follow-up care']",Gastroenterologist
