diseases,grouped symptoms,disease probability
premature ovarian failure,"{'lack of growth': 0.9375, 'pelvic pain': 0.4583333333333333, 'weight gain': 0.6458333333333334, 'absence of menstruation': 0.7083333333333334, 'infertility': 0.5625}",0.002
premature rupture of amniotic membrane,"{'elbow weakness': 0.8888888888888888, 'sharp abdominal pain': 1.0, 'uterine contractions': 1.0}",0.001
premature ventricular contractions (pvcs),"{'shortness of breath': 0.7784615384615384, 'sharp chest pain': 0.5446153846153846, 'chest tightness': 0.5476923076923077, 'palpitations': 0.5507692307692308, 'irregular heartbeat': 0.5384615384615384, 'fainting': 0.5230769230769231, 'impotence': 0.683076923076923, 'sleepiness': 0.6707692307692308}",0.01
premenstrual tension syndrome,"{'depressive or psychotic symptoms': 0.7883211678832117, 'headache': 0.5401459854014599, 'lower abdominal pain': 0.8394160583941606, 'back pain': 0.7226277372262774, 'unpredictable menstruation': 0.5255474452554745, 'premenstrual tension or irritability': 0.4452554744525547}",0.01
presbyacusis,"{'dizziness': 0.5454545454545454, 'diminished hearing': 0.509090909090909, 'emotional symptoms': 0.8727272727272727, 'ear pain': 0.6727272727272727, 'ringing in ear': 0.4727272727272727}",0.005
presbyopia,"{'difficulty speaking': 0.6839622641509434, 'diminished vision': 0.5943396226415094, 'symptoms of eye': 0.6084905660377359, 'pain in eye': 0.8160377358490566, 'abnormal movement of eyelid': 0.7452830188679245, 'foreign body sensation in eye': 0.7122641509433962, 'spots or clouds in vision': 0.5990566037735849}",0.005
priapism,"{'elbow weakness': 0.5, 'abusing alcohol': 1.0, 'painful urination': 0.6666666666666666, 'penis pain': 0.8333333333333334}",0.001
primary immunodeficiency,"{'cough': 0.6388888888888888, 'arm stiffness or tightness': 0.8611111111111112, 'frontal headache': 0.6388888888888888, 'decreased appetite': 0.8611111111111112, 'fatigue': 0.75}",0.001
primary insomnia,"{'anxiety and nervousness': 0.8736842105263158, 'insomnia': 0.5631578947368421, 'abnormal involuntary movements': 0.6894736842105263, 'fatigue': 0.5052631578947369, 'delusions or hallucinations': 0.5052631578947369, 'sleepiness': 0.7, 'abnormal breathing sounds': 0.5526315789473685}",0.01
primary kidney disease,"{'lack of growth': 0.9705882352941176, 'blood in urine': 0.5, 'impotence': 0.5294117647058824, 'peripheral edema': 0.6470588235294118, 'symptoms of the kidneys': 0.5}",0.01
primary thrombocythemia,"{'dizziness': 1.0, 'flatulence': 1.0, 'fatigue': 1.0}",0.001
problem during pregnancy,"{'sharp abdominal pain': 0.4863088718510405, 'vomiting': 0.5005476451259584, 'headache': 0.4906900328587075, 'nausea': 0.511500547645126, 'lower abdominal pain': 0.5268346111719606, 'back pain': 0.5224534501642936, 'pain during pregnancy': 0.5136911281489595, 'pelvic pain': 0.664841182913472, 'problems during pregnancy': 0.5257393209200438, 'spotting or bleeding during pregnancy': 0.5169769989047097, 'cramps and spasms': 0.4994523548740416}",0.005
prostate cancer,"{'retention of urine': 0.674074074074074, 'involuntary urination': 0.7333333333333333, 'pain during intercourse': 0.5185185185185185, 'blood in urine': 0.5555555555555556, 'impotence': 0.6074074074074074, 'symptoms of prostate': 0.5185185185185185, 'flushing': 0.6814814814814815, 'excessive urination at night': 0.5111111111111111}",0.005
prostatitis,"{'retention of urine': 0.6637298091042585, 'sharp abdominal pain': 0.6725403817914831, 'painful urination': 0.5022026431718062, 'frequent urination': 0.5227606461086637, 'lower abdominal pain': 0.5139500734214391, 'blood in urine': 0.5433186490455213, 'back pain': 0.4845814977973568, 'impotence': 0.5506607929515418, 'fever': 0.5095447870778267, 'chills': 0.5124816446402349}",0.01
protein deficiency,"{'depression': 0.90625, 'vomiting': 0.8125, 'nausea': 0.59375, 'smoking problems': 0.75, 'weakness': 0.671875}",0.005
pseudohypoparathyroidism,"{'leg pain': 1.0, 'elbow weakness': 0.5, 'wrist pain': 0.8333333333333334, 'knee pain': 0.6666666666666666}",0.0005
pseudotumor cerebri,"{'dizziness': 0.5208333333333334, 'abnormal involuntary movements': 0.9583333333333334, 'headache': 0.5208333333333334, 'diminished vision': 0.6041666666666666, 'pain in eye': 0.7708333333333334}",0.002
psoriasis,"{'skin swelling': 0.6513157894736842, 'abnormal appearing skin': 0.4967105263157895, 'skin lesion': 0.4890350877192982, 'skin growth': 0.5109649122807017, 'irregular appearing scalp': 0.5350877192982456, 'skin moles': 0.5098684210526315, 'joint pain': 0.4923245614035088, 'itching of skin': 0.5, 'skin dryness, peeling, scaliness, or roughness': 0.4978070175438596, 'itchy scalp': 0.5131578947368421, 'skin rash': 0.5537280701754386}",0.05
psychosexual disorder,"{'depression': 0.625, 'involuntary urination': 0.8333333333333334, 'pain during intercourse': 0.494047619047619, 'impotence': 0.4880952380952381, 'fatigue': 0.5059523809523809, 'loss of sex drive': 0.5, 'premature ejaculation': 0.5178571428571429}",0.001
psychotic disorder,"{'anxiety and nervousness': 0.4811529933481153, 'depression': 0.5133037694013304, 'depressive or psychotic symptoms': 0.4977827050997783, 'insomnia': 0.6906873614190687, 'abusing alcohol': 0.5044345898004434, 'hostile behavior': 0.5432372505543237, 'excessive anger': 0.4966740576496674, 'delusions or hallucinations': 0.5155210643015521, 'temper problems': 0.5133037694013304, 'fears and phobias': 0.5155210643015521, 'hysterical behavior': 0.4977827050997783}",0.02
pterygium,"{'acne or pimples': 0.7813953488372093, 'diminished vision': 0.5209302325581395, 'symptoms of eye': 0.7906976744186046, 'foreign body sensation in eye': 0.6976744186046512, 'spots or clouds in vision': 0.5627906976744186, 'eye redness': 0.5674418604651162, 'lacrimation': 0.7255813953488373}",0.005
pulmonary congestion,"{'shortness of breath': 0.5110663983903421, 'sharp chest pain': 0.5392354124748491, 'chest tightness': 0.6800804828973843, 'cough': 0.7062374245472837, 'nasal congestion': 0.5271629778672032, 'leg swelling': 0.6780684104627767, 'weakness': 0.4909456740442656, 'decreased heart rate': 0.4768611670020121, 'fever': 0.482897384305835}",0.01
pulmonary embolism,"{'shortness of breath': 0.5056818181818182, 'sharp chest pain': 0.5295454545454545, 'chest tightness': 0.4897727272727272, 'cough': 0.5227272727272727, 'leg pain': 0.6886363636363636, 'leg swelling': 0.5079545454545454, 'weakness': 0.4977272727272727, 'side pain': 0.5147727272727273, 'difficulty breathing': 0.509090909090909, 'hemoptysis': 0.5011363636363636, 'sweating': 0.5079545454545454}",0.005
pulmonary eosinophilia,"{'shortness of breath': 0.4972972972972973, 'sharp chest pain': 0.5135135135135135, 'dizziness': 0.7567567567567568, 'cough': 0.5567567567567567, 'nasal congestion': 0.518918918918919, 'paresthesia': 0.8162162162162162, 'fever': 0.5027027027027027}",0.001
pulmonary fibrosis,"{'shortness of breath': 0.5677966101694916, 'sharp chest pain': 0.5677966101694916, 'chest tightness': 0.864406779661017, 'cough': 0.5423728813559322, 'fainting': 0.559322033898305, 'fever': 0.5847457627118644, 'difficulty breathing': 0.4915254237288136}",0.002
pulmonary hypertension,"{'shortness of breath': 0.515695067264574, 'sharp chest pain': 0.5224215246636771, 'palpitations': 0.5201793721973094, 'cough': 0.4932735426008968, 'feeling ill': 0.757847533632287, 'difficulty breathing': 0.5201793721973094, 'fatigue': 0.5089686098654709, 'hemoptysis': 0.4977578475336323, 'apnea': 0.6569506726457399}",0.005
pulmonic valve disease,"{'shortness of breath': 1.0, 'emotional symptoms': 1.0}",0.001
pyelonephritis,"{'suprapubic pain': 0.4806201550387597, 'sharp abdominal pain': 0.6843853820598007, 'vomiting': 0.4961240310077519, 'nausea': 0.5149501661129569, 'painful urination': 0.5060908084163898, 'frequent urination': 0.5182724252491694, 'lower abdominal pain': 0.5083056478405316, 'blood in urine': 0.4961240310077519, 'back pain': 0.4684385382059801, 'low back pain': 0.5204872646733112, 'side pain': 0.5171650055370985}",0.01
pyloric stenosis,"{'cough': 0.75, 'vomiting': 0.6875, 'arm stiffness or tightness': 0.9375}",0.002
pyogenic skin infection,"{'skin swelling': 0.4895718990120746, 'leg pain': 0.4983534577387486, 'hand or finger pain': 0.4873765093304061, 'hand or finger swelling': 0.5082327113062569, 'abnormal appearing skin': 0.531284302963776, 'skin lesion': 0.4917672886937431, 'peripheral edema': 0.5181119648737651, 'foot or toe pain': 0.6575192096597146, 'leg swelling': 0.5159165751920965, 'foot or toe swelling': 0.4983534577387486, 'skin rash': 0.5115257958287596}",0.03
raynaud disease,"{'hand or finger pain': 1.0, 'hand or finger swelling': 0.9166666666666666, 'loss of sensation': 0.5833333333333334}",0.01
reactive arthritis,"{'hip pain': 1.0, 'knee lump or mass': 1.0}",0.005
rectal disorder,"{'blood in stool': 0.4911308203991131, 'sharp abdominal pain': 0.5199556541019955, 'diarrhea': 0.4922394678492239, 'pain of the anus': 0.5299334811529933, 'burning abdominal pain': 0.516629711751663, 'heartburn': 0.6729490022172949, 'cramps and spasms': 0.4977827050997783, 'melena': 0.4811529933481153, 'rectal bleeding': 0.5110864745011087, 'constipation': 0.524390243902439, 'itching of the anus': 0.4722838137472284}",0.01
restless leg syndrome,"{'depression': 0.4982332155477031, 'insomnia': 0.8056537102473498, 'abnormal involuntary movements': 0.5123674911660777, 'leg pain': 0.4982332155477031, 'headache': 0.5335689045936396, 'fatigue': 0.6713780918727915, 'sleepiness': 0.5017667844522968, 'apnea': 0.4805653710247349}",0.02
retinal detachment,"{'diminished vision': 0.5, 'double vision': 0.8071428571428572, 'symptoms of eye': 0.5, 'pain in eye': 0.5285714285714286, 'spots or clouds in vision': 0.5214285714285715, 'lacrimation': 0.675, 'itchiness of eye': 0.5607142857142857, 'blindness': 0.4964285714285714}",0.002
retinopathy due to high blood pressure,"{'pus draining from ear': 0.8478260869565217, 'diminished vision': 0.5579710144927537, 'symptoms of eye': 0.5507246376811594, 'pain in eye': 0.6304347826086957, 'foreign body sensation in eye': 0.7101449275362319, 'spots or clouds in vision': 0.5}",0.03
rhabdomyolysis,"{'depressive or psychotic symptoms': 0.5625, 'sharp chest pain': 0.5, 'hoarse voice': 0.375, 'leg pain': 1.0, 'arm pain': 0.625}",0.001
rheumatic fever,"{'knee lump or mass': 1.0, 'itchiness of eye': 1.0}",0.0005
rheumatoid arthritis,"{'hand or finger pain': 0.4734513274336283, 'wrist pain': 0.5117994100294986, 'hand or finger swelling': 0.4911504424778761, 'wrist swelling': 0.6784660766961652, 'peripheral edema': 0.4926253687315634, 'knee pain': 0.504424778761062, 'ache all over': 0.5221238938053098, 'joint pain': 0.4985250737463126, 'elbow swelling': 0.6710914454277286, 'joint swelling': 0.504424778761062}",0.02
rocky mountain spotted fever,"{'headache': 1.0, 'wrist pain': 1.0}",0.0005
rosacea,"{'skin swelling': 0.4808259587020649, 'abnormal appearing skin': 0.6740412979351033, 'skin lesion': 0.5014749262536873, 'acne or pimples': 0.5088495575221239, 'skin growth': 0.5191740412979351, 'symptoms of eye': 0.6651917404129793, 'skin moles': 0.504424778761062, 'lymphedema': 0.4734513274336283, 'itching of skin': 0.4734513274336283, 'skin dryness, peeling, scaliness, or roughness': 0.5088495575221239}",0.03
rotator cuff injury,"{'arm pain': 0.5045045045045045, 'arm stiffness or tightness': 0.7657657657657657, 'hand or finger stiffness or tightness': 0.8738738738738738, 'shoulder pain': 0.5225225225225225, 'shoulder stiffness or tightness': 0.5045045045045045, 'shoulder weakness': 0.5135135135135135}",0.01
salivary gland disorder,"{'sore throat': 0.7580645161290323, 'cough': 0.8387096774193549, 'throat feels tight': 0.7903225806451613, 'swollen lymph nodes': 0.7258064516129032}",0.005
sarcoidosis,"{'shortness of breath': 0.5212121212121212, 'sharp chest pain': 0.7242424242424242, 'chest tightness': 0.5060606060606061, 'cough': 0.5393939393939394, 'headache': 0.5393939393939394, 'facial pain': 0.7454545454545455, 'pain in eye': 0.6878787878787879, 'peripheral edema': 0.5666666666666667}",0.001
scabies,"{'skin swelling': 0.5294117647058824, 'abnormal appearing skin': 0.4866310160427807, 'foot or toe swelling': 0.732620320855615, 'problems during pregnancy': 0.5187165775401069, 'unpredictable menstruation': 0.8342245989304813, 'itching of skin': 0.5133689839572193, 'skin rash': 0.4759358288770053}",0.02
scar,"{'skin swelling': 0.75390625, 'lip swelling': 0.67578125, 'abnormal appearing skin': 0.52734375, 'skin lesion': 0.6484375, 'skin growth': 0.46484375, 'skin moles': 0.71875, 'itching of skin': 0.49609375}",0.02
scarlet fever,"{'sore throat': 0.4888888888888889, 'cough': 0.4444444444444444, 'throat swelling': 0.8555555555555555, 'skin swelling': 0.7, 'fever': 0.6111111111111112, 'skin rash': 0.5222222222222223}",0.0005
schizophrenia,"{'anxiety and nervousness': 0.4853932584269663, 'depression': 0.5314606741573034, 'depressive or psychotic symptoms': 0.5067415730337078, 'insomnia': 0.6730337078651686, 'hostile behavior': 0.4853932584269663, 'excessive anger': 0.5191011235955056, 'delusions or hallucinations': 0.5044943820224719, 'temper problems': 0.5067415730337078, 'fears and phobias': 0.5224719101123596, 'low self-esteem': 0.503370786516854, 'hysterical behavior': 0.5235955056179775}",0.002
sciatica,"{'leg pain': 0.6676646706586826, 'hip pain': 0.498502994011976, 'low back pain': 0.5269461077844312, 'problems with movement': 0.6676646706586826, 'loss of sensation': 0.5179640718562875, 'leg cramps or spasms': 0.4730538922155688, 'lower body pain': 0.5269461077844312, 'unusual color or odor to urine': 0.4805389221556886, 'back cramps or spasms': 0.4880239520958084, 'leg weakness': 0.5239520958083832}",0.02
scleritis,"{'abnormal involuntary movements': 0.9347826086956522, 'headache': 0.717391304347826, 'pain in eye': 0.5217391304347826, 'spots or clouds in vision': 0.5652173913043478, 'eye redness': 0.6521739130434783}",0.001
scleroderma,"{'feeling ill': 0.772189349112426, 'lip swelling': 0.5236686390532544, 'abnormal appearing skin': 0.5059171597633136, 'skin lesion': 0.6627218934911243, 'skin growth': 0.5088757396449705, 'itching of skin': 0.4585798816568047, 'skin dryness, peeling, scaliness, or roughness': 0.4911242603550296, 'skin irritation': 0.6242603550295858}",0.001
scoliosis,"{'leg pain': 0.47953216374269, 'back pain': 0.4736842105263157, 'low back pain': 0.5146198830409356, 'knee swelling': 0.672514619883041, 'problems with movement': 0.5029239766081871, 'knee stiffness or tightness': 0.8304093567251462, 'lower body pain': 0.4970760233918128}",0.02
scurvy,"{'sharp abdominal pain': 1.0, 'knee lump or mass': 1.0}",0.001
seasonal allergies (hay fever),"{'sore throat': 0.4901098901098901, 'cough': 0.5, 'nasal congestion': 0.4923076923076923, 'headache': 0.510989010989011, 'ear pain': 0.5340659340659341, 'frontal headache': 0.5186813186813187, 'lacrimation': 0.6780219780219781, 'itchiness of eye': 0.4868131868131868, 'coryza': 0.5131868131868131, 'allergic reaction': 0.5098901098901099, 'sneezing': 0.5065934065934066}",0.1
sebaceous cyst,"{'skin swelling': 0.4895947426067908, 'abnormal appearing skin': 0.4950711938663746, 'skin lesion': 0.4863088718510405, 'acne or pimples': 0.5005476451259584, 'skin growth': 0.5290251916757941, 'irregular appearing scalp': 0.5104052573932092, 'neck mass': 0.52026286966046, 'skin moles': 0.6703176341730559, 'hand or finger lump or mass': 0.5191675794085433, 'back mass or lump': 0.4917853231106243, 'arm lump or mass': 0.484118291347207}",0.01
seborrheic dermatitis,"{'abnormal appearing skin': 0.5, 'skin lesion': 0.5204545454545455, 'acne or pimples': 0.6590909090909091, 'skin growth': 0.5125, 'irregular appearing scalp': 0.5204545454545455, 'symptoms of the face': 0.5102272727272728, 'itching of skin': 0.5147727272727273, 'skin dryness, peeling, scaliness, or roughness': 0.5295454545454545, 'too little hair': 0.5022727272727273, 'skin rash': 0.5068181818181818, 'dry or flaky scalp': 0.5204545454545455}",0.02
seborrheic keratosis,"{'skin swelling': 0.4816091954022988, 'abnormal appearing skin': 0.5402298850574713, 'skin lesion': 0.5080459770114942, 'acne or pimples': 0.503448275862069, 'skin growth': 0.5367816091954023, 'irregular appearing scalp': 0.506896551724138, 'skin moles': 0.5459770114942529, 'itching of skin': 0.6597701149425287, 'skin irritation': 0.5172413793103449, 'warts': 0.5137931034482759, 'skin rash': 0.5160919540229885}",0.005
sensorineural hearing loss,"{'dizziness': 0.4787077826725404, 'hoarse voice': 0.6651982378854625, 'nasal congestion': 0.5242290748898678, 'diminished hearing': 0.5022026431718062, 'throat feels tight': 0.6505139500734214, 'ear pain': 0.5330396475770925, 'ringing in ear': 0.487518355359765, 'plugged feeling in ear': 0.5036710719530103, 'itchy ear(s)': 0.4904552129221732, 'fluid in ear': 0.4933920704845815}",0.01
sepsis,"{'shortness of breath': 0.6633663366336634, 'cough': 0.506050605060506, 'suprapubic pain': 0.5005500550055005, 'sharp abdominal pain': 0.5016501650165016, 'feeling ill': 0.5302530253025303, 'vomiting': 0.5104510451045104, 'weakness': 0.5071507150715071, 'decreased appetite': 0.5027502750275028, 'fever': 0.5379537953795379, 'difficulty breathing': 0.5104510451045104, 'chills': 0.4994499449944994}",0.002
septic arthritis,"{'leg pain': 0.8870967741935484, 'hip pain': 0.8709677419354839, 'knee pain': 0.532258064516129, 'knee swelling': 0.5806451612903226, 'fever': 0.4838709677419355}",0.001
shingles (herpes zoster),"{'sharp chest pain': 0.8073878627968337, 'headache': 0.7255936675461742, 'abnormal appearing skin': 0.5356200527704486, 'skin lesion': 0.5857519788918206, 'facial pain': 0.5277044854881267, 'pain in eye': 0.5277044854881267, 'back pain': 0.5382585751978892, 'itching of skin': 0.5356200527704486, 'skin rash': 0.5883905013192612}",0.02
sialoadenitis,"{'sore throat': 0.650294695481336, 'cough': 0.6522593320235757, 'nasal congestion': 0.5147347740667977, 'facial pain': 0.5265225933202358, 'swollen lymph nodes': 0.693516699410609, 'peripheral edema': 0.5206286836935167, 'neck mass': 0.4891944990176817, 'jaw swelling': 0.4950884086444008, 'neck swelling': 0.5029469548133595}",0.001
sick sinus syndrome,"{'shortness of breath': 0.740506329113924, 'dizziness': 0.5379746835443038, 'palpitations': 0.5126582278481012, 'irregular heartbeat': 0.5822784810126582, 'fainting': 0.5316455696202531, 'weakness': 0.4493670886075949, 'decreased heart rate': 0.4683544303797468, 'increased heart rate': 0.6645569620253164}",0.001
sickle cell anemia,"{'leg pain': 0.4601769911504424, 'dry lips': 0.8805309734513275, 'back pain': 0.5088495575221239, 'fever': 0.504424778761062, 'ache all over': 0.5442477876106194, 'joint pain': 0.4867256637168141, 'temper problems': 0.5132743362831859, 'pulling at ears': 0.5132743362831859}",0.001
sickle cell crisis,"{'sharp chest pain': 0.4852135815991237, 'leg pain': 0.5049288061336255, 'hip pain': 0.488499452354874, 'sharp abdominal pain': 0.5125958378970427, 'vomiting': 0.683461117196057, 'arm pain': 0.5432639649507119, 'back pain': 0.4950711938663746, 'low back pain': 0.4906900328587075, 'burning abdominal pain': 0.4994523548740416, 'knee pain': 0.5049288061336255, 'ache all over': 0.4895947426067908}",0.002
sinus bradycardia,"{'shortness of breath': 0.495049504950495, 'sharp chest pain': 0.5038503850385039, 'dizziness': 0.4939493949394939, 'chest tightness': 0.682068206820682, 'palpitations': 0.4961496149614962, 'irregular heartbeat': 0.5379537953795379, 'fainting': 0.5203520352035204, 'feeling ill': 0.5016501650165016, 'weakness': 0.4961496149614962, 'decreased heart rate': 0.5181518151815182, 'increased heart rate': 0.5148514851485149}",0.002
sjogren syndrome,"{'difficulty in swallowing': 0.7934782608695652, 'diminished vision': 0.5760869565217391, 'symptoms of eye': 0.5108695652173914, 'pain in eye': 0.9347826086956522, 'ache all over': 0.5, 'joint pain': 0.4456521739130434}",0.001
skin cancer,"{'skin swelling': 0.4841149773071104, 'lip swelling': 0.6717095310136157, 'abnormal appearing skin': 0.4947049924357035, 'skin lesion': 0.5219364599092284, 'skin growth': 0.5143721633888049, 'irregular appearing scalp': 0.680786686838124, 'skin moles': 0.5128593040847201, 'skin dryness, peeling, scaliness, or roughness': 0.4931921331316187, 'skin irritation': 0.5007564296520424, 'warts': 0.5098335854765507}",0.005
skin disorder,"{'skin swelling': 0.4748520710059171, 'abnormal appearing skin': 0.6923076923076923, 'skin lesion': 0.5266272189349113, 'acne or pimples': 0.507396449704142, 'skin growth': 0.5118343195266272, 'irregular appearing scalp': 0.4778106508875739, 'skin moles': 0.5281065088757396, 'itching of skin': 0.5133136094674556, 'skin dryness, peeling, scaliness, or roughness': 0.5192307692307693, 'skin irritation': 0.665680473372781}",0.02
skin pigmentation disorder,"{'skin swelling': 0.495049504950495, 'abnormal appearing skin': 0.5038503850385039, 'skin lesion': 0.4851485148514851, 'acne or pimples': 0.506050605060506, 'skin growth': 0.5313531353135313, 'irregular appearing scalp': 0.6919691969196919, 'skin moles': 0.5192519251925193, 'itching of skin': 0.4972497249724972, 'skin dryness, peeling, scaliness, or roughness': 0.5093509350935094, 'warts': 0.5489548954895489, 'skin rash': 0.4961496149614962}",0.002
skin polyp,"{'skin swelling': 0.6711259754738016, 'abnormal appearing skin': 0.5083612040133779, 'skin lesion': 0.4871794871794871, 'acne or pimples': 0.5094760312151616, 'skin growth': 0.5105908584169454, 'irregular appearing scalp': 0.5250836120401338, 'skin moles': 0.5507246376811594, 'itching of skin': 0.4905239687848383, 'skin dryness, peeling, scaliness, or roughness': 0.5050167224080268, 'skin irritation': 0.4927536231884058, 'warts': 0.5351170568561873}",0.005
smoking or tobacco addiction,"{'shortness of breath': 0.4960362400906002, 'sharp chest pain': 0.5254813137032842, 'cough': 0.5084937712344281, 'abusing alcohol': 0.5130237825594564, 'drug abuse': 0.5266138165345413, 'headache': 0.4994337485843714, 'smoking problems': 0.5390713476783692, 'excessive anger': 0.6568516421291053, 'coughing up sputum': 0.5152887882219706, 'hemoptysis': 0.4994337485843714, 'hurts to breath': 0.5288788221970555}",0.05
social phobia,"{'anxiety and nervousness': 0.4892367906066536, 'depression': 0.5107632093933464, 'depressive or psychotic symptoms': 0.471624266144814, 'insomnia': 0.4892367906066536, 'abusing alcohol': 0.6810176125244618, 'excessive appetite': 0.6790606653620352, 'excessive anger': 0.675146771037182, 'delusions or hallucinations': 0.4833659491193737, 'fears and phobias': 0.5009784735812133}",0.02
soft tissue sarcoma,"{'groin mass': 0.8128654970760234, 'abnormal appearing skin': 0.4912280701754385, 'skin lesion': 0.5029239766081871, 'skin growth': 0.4853801169590643, 'skin moles': 0.5321637426900585, 'itching of skin': 0.5263157894736842, 'skin dryness, peeling, scaliness, or roughness': 0.6608187134502924}",0.001
somatization disorder,"{'anxiety and nervousness': 0.569620253164557, 'depression': 0.6075949367088608, 'dizziness': 0.810126582278481, 'fainting': 0.8860759493670886, 'ache all over': 0.5189873417721519}",0.002
spermatocele,"{'retention of urine': 0.7777777777777778, 'elbow weakness': 0.7160493827160493, 'pain in testicles': 0.5432098765432098, 'mass in scrotum': 0.5679012345679012, 'frequent urination': 0.9135802469135802}",0.002
spherocytosis,"{'cough': 1.0, 'elbow weakness': 1.0, 'skin rash': 0.8}",0.001
spina bifida,"{'headache': 0.5487804878048781, 'involuntary urination': 0.5121951219512195, 'skin lesion': 0.573170731707317, 'eye moves abnormally': 0.8902439024390244, 'back pain': 0.5609756097560976, 'disturbance of memory': 0.6951219512195121}",0.0005
spinal stenosis,"{'leg pain': 0.4904722452361226, 'hip pain': 0.5095277547638773, 'headache': 0.496271748135874, 'arm pain': 0.512013256006628, 'back pain': 0.5153272576636289, 'neck pain': 0.5144987572493787, 'low back pain': 0.5062137531068766, 'problems with movement': 0.5144987572493787, 'loss of sensation': 0.4929577464788732, 'paresthesia': 0.4979287489643745, 'shoulder pain': 0.4863297431648716, 'lower body pain': 0.5103562551781275}",0.005
spinocerebellar ataxia,"{'anxiety and nervousness': 1.0, 'dizziness': 0.625, 'abnormal involuntary movements': 0.75, 'problems with movement': 0.375}",0.001
spondylitis,"{'leg pain': 0.5011086474501109, 'hip pain': 0.4988913525498891, 'back pain': 0.5099778270509978, 'neck pain': 0.4811529933481153, 'low back pain': 0.5277161862527716, 'side pain': 0.6585365853658537, 'lower body pain': 0.5033259423503326, 'stiffness all over': 0.738359201773836, 'back mass or lump': 0.5077605321507761}",0.002
spondylolisthesis,"{'leg pain': 0.4903417533432392, 'hip pain': 0.6612184249628529, 'back pain': 0.5185735512630015, 'neck pain': 0.5066864784546805, 'low back pain': 0.5230312035661219, 'problems with movement': 0.4814264487369985, 'loss of sensation': 0.5037147102526003, 'paresthesia': 0.5066864784546805, 'leg cramps or spasms': 0.6686478454680534, 'leg weakness': 0.4933135215453195}",0.001
spondylosis,"{'leg pain': 0.4802631578947368, 'hip pain': 0.5008223684210527, 'arm pain': 0.506578947368421, 'back pain': 0.5106907894736842, 'neck pain': 0.5172697368421053, 'low back pain': 0.5164473684210527, 'knee pain': 0.4950657894736842, 'loss of sensation': 0.506578947368421, 'paresthesia': 0.4827302631578947, 'shoulder pain': 0.4901315789473684, 'ache all over': 0.515625, 'lower body pain': 0.4975328947368421}",0.01
spontaneous abortion,"{'sharp abdominal pain': 0.485973597359736, 'lower abdominal pain': 0.5008250825082509, 'intermenstrual bleeding': 0.5016501650165016, 'pain during pregnancy': 0.5132013201320133, 'pelvic pain': 0.5107260726072608, 'burning abdominal pain': 0.5239273927392739, 'problems during pregnancy': 0.4983498349834983, 'spotting or bleeding during pregnancy': 0.5, 'cramps and spasms': 0.4933993399339934, 'blood clots during menstrual periods': 0.4826732673267326, 'uterine contractions': 0.518976897689769, 'heavy menstrual flow': 0.5041254125412541}",0.01
sporotrichosis,"{'wrist pain': 1.0, 'knee pain': 1.0}",0.0005
sprain or strain,"{'leg pain': 0.4826732673267326, 'headache': 0.5016501650165016, 'hand or finger pain': 0.5008250825082509, 'wrist pain': 0.5123762376237624, 'arm pain': 0.514026402640264, 'back pain': 0.518976897689769, 'neck pain': 0.5016501650165016, 'low back pain': 0.5057755775577558, 'knee pain': 0.495049504950495, 'foot or toe pain': 0.5115511551155115, 'ankle pain': 0.4975247524752475, 'shoulder pain': 0.5024752475247525}",0.05
stenosis of the tear duct,"{'cough': 0.696078431372549, 'white discharge from eye': 0.8235294117647058, 'symptoms of eye': 0.6470588235294118, 'abnormal movement of eyelid': 0.7549019607843137, 'lacrimation': 0.4705882352941176}",0.001
stomach cancer,"{'difficulty in swallowing': 0.8516129032258064, 'sharp abdominal pain': 0.632258064516129, 'vomiting': 0.5096774193548387, 'nausea': 0.5612903225806452, 'diarrhea': 0.8516129032258064, 'burning abdominal pain': 0.5612903225806452, 'heartburn': 0.5096774193548387}",0.002
strep throat,"{'sore throat': 0.4884297520661157, 'cough': 0.5008264462809917, 'nasal congestion': 0.5024793388429752, 'difficulty in swallowing': 0.4851239669421487, 'vomiting': 0.5272727272727272, 'headache': 0.5214876033057851, 'ear pain': 0.5165289256198347, 'decreased appetite': 0.5074380165289256, 'fever': 0.5, 'ache all over': 0.5024793388429752, 'chills': 0.5057851239669422, 'skin rash': 0.515702479338843}",0.05
stress incontinence,"{'retention of urine': 0.6941176470588235, 'painful urination': 0.6862745098039216, 'involuntary urination': 0.5254901960784314, 'frequent urination': 0.5647058823529412, 'blood in urine': 0.5019607843137255, 'hot flashes': 0.807843137254902, 'intermenstrual bleeding': 0.7019607843137254}",0.02
stricture of the esophagus,"{'sharp chest pain': 0.7790697674418605, 'difficulty in swallowing': 0.7093023255813954, 'vomiting': 0.686046511627907, 'problems with movement': 0.7093023255813954, 'heartburn': 0.8255813953488372, 'regurgitation.1': 0.5465116279069767}",0.002
stroke,"{'depressive or psychotic symptoms': 0.4968847352024922, 'dizziness': 0.5233644859813084, 'abnormal involuntary movements': 0.5109034267912772, 'difficulty speaking': 0.5015576323987538, 'headache': 0.7429906542056075, 'problems with movement': 0.6947040498442367, 'focal weakness': 0.5280373831775701, 'slurring words': 0.5202492211838006, 'disturbance of memory': 0.4984423676012461, 'seizures': 0.5109034267912772}",0.05
